"stability","error","sign","wind","magn","vis","use"
"stab","MM","pp","head","Light","yes","auto"
"stab","MM","pp","head","Medium","yes","auto"
"stab","MM","pp","head","Strong","yes","noauto"
"stab","MM","pp","tail","Light","yes","auto"
"stab","MM","pp","tail","Medium","yes","auto"
"stab","MM","pp","tail","Strong","yes","auto"
"stab","MM","nn","tail","Light","yes","noauto"
"stab","MM","nn","tail","Medium","yes","noauto"
"stab","MM","nn","tail","Strong","yes","noauto"
"stab","SS","pp","head","Light","yes","auto"
"stab","SS","pp","head","Medium","yes","auto"
"stab","SS","pp","head","Strong","yes","auto"
"stab","SS","pp","tail","Light","yes","auto"
"stab","SS","pp","tail","Medium","yes","auto"
"stab","SS","pp","tail","Strong","yes","auto"
"stab","SS","nn","head","Light","yes","auto"
"stab","SS","nn","head","Medium","yes","auto"
"stab","SS","nn","head","Strong","yes","auto"
"stab","SS","nn","tail","Light","yes","auto"
"stab","SS","nn","tail","Medium","yes","auto"
"stab","SS","nn","tail","Strong","yes","auto"
"xstab","LX","pp","head","Out","yes","noauto"
"xstab","LX","pp","tail","Out","yes","noauto"
"xstab","LX","nn","head","Out","yes","noauto"
"xstab","LX","nn","tail","Out","yes","noauto"
"xstab","XL","pp","head","Out","yes","noauto"
"xstab","XL","pp","tail","Out","yes","noauto"
"xstab","XL","nn","head","Out","yes","noauto"
"xstab","XL","nn","tail","Out","yes","noauto"
"xstab","MM","pp","head","Out","yes","noauto"
"xstab","MM","pp","tail","Out","yes","noauto"
"xstab","MM","nn","head","Out","yes","noauto"
"xstab","MM","nn","tail","Out","yes","noauto"
"xstab","SS","pp","head","Out","yes","noauto"
"xstab","SS","pp","tail","Out","yes","noauto"
"xstab","SS","nn","head","Out","yes","noauto"
"xstab","SS","nn","tail","Out","yes","noauto"
"stab","LX","pp","head","Out","yes","noauto"
"stab","LX","pp","tail","Out","yes","noauto"
"stab","LX","nn","head","Out","yes","noauto"
"stab","LX","nn","tail","Out","yes","noauto"
"stab","XL","pp","head","Out","yes","noauto"
"stab","XL","pp","tail","Out","yes","noauto"
"stab","XL","nn","head","Out","yes","noauto"
"stab","XL","nn","tail","Out","yes","noauto"
"stab","MM","pp","head","Out","yes","noauto"
"stab","MM","pp","tail","Out","yes","noauto"
"stab","MM","nn","head","Out","yes","noauto"
"stab","MM","nn","tail","Out","yes","noauto"
"stab","SS","pp","head","Out","yes","noauto"
"stab","SS","pp","tail","Out","yes","noauto"
"stab","SS","nn","head","Out","yes","noauto"
"stab","SS","nn","tail","Out","yes","noauto"
"stab","MM","nn","head","Light","yes","noauto"
"stab","MM","nn","head","Medium","yes","noauto"
"stab","MM","nn","head","Strong","yes","noauto"
