"id","year","stint","team","lg","g","ab","r","h","X2b","X3b","hr","rbi","sb","cs","bb","so","ibb","hbp","sh","sf","gidp"
"ansonca01",1874,1,"PH1","",55,259,51,87,8,3,0,37,6,0,4,1,NA,NA,NA,NA,NA
"burdoja01",1874,1,"NY2","",61,273,45,75,11,4,1,27,4,0,1,5,NA,NA,NA,NA,NA
"forceda01",1874,1,"CH2","",59,294,61,92,9,0,0,26,4,0,3,1,NA,NA,NA,NA,NA
"gerhajo01",1874,1,"BL1","",14,61,10,19,0,1,0,6,0,0,0,0,NA,NA,NA,NA,NA
"hinespa01",1874,1,"CH2","",59,271,47,80,10,2,0,34,4,1,4,4,NA,NA,NA,NA,NA
"mathebo01",1874,1,"NY2","",65,298,46,72,6,1,0,30,2,0,3,3,NA,NA,NA,NA,NA
"nelsoca01",1874,1,"NY2","",65,297,55,73,7,5,0,32,6,0,9,5,NA,NA,NA,NA,NA
"orourji01",1874,1,"BS1","",70,331,82,104,15,8,5,61,11,1,4,5,NA,NA,NA,NA,NA
"shaffor01",1874,1,"HR1","",9,35,6,8,0,0,1,3,0,0,0,3,NA,NA,NA,NA,NA
"shaffor01",1874,2,"NY2","",1,5,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"snydepo01",1874,1,"BL1","",39,151,24,33,4,0,1,17,0,0,1,2,NA,NA,NA,NA,NA
"startjo01",1874,1,"NY2","",63,306,67,96,13,3,2,45,5,0,4,0,NA,NA,NA,NA,NA
"suttoez01",1874,1,"PH1","",55,243,54,71,10,3,0,28,6,4,0,2,NA,NA,NA,NA,NA
"whitede01",1874,1,"BS1","",70,353,75,106,5,7,3,52,1,1,4,0,NA,NA,NA,NA,NA
"yorkto01",1874,1,"PH2","",50,224,36,56,4,7,0,37,1,0,5,4,NA,NA,NA,NA,NA
"ansonca01",1875,1,"PH1","",69,326,84,106,15,3,0,58,11,6,4,2,NA,NA,NA,NA,NA
"burdoja01",1875,1,"HR1","",74,350,72,103,12,5,0,35,20,11,3,13,NA,NA,NA,NA,NA
"forceda01",1875,1,"PH1","",77,386,78,120,22,5,0,49,6,3,7,5,NA,NA,NA,NA,NA
"galvipu01",1875,1,"SL2","",13,46,8,6,2,1,0,2,3,0,0,1,NA,NA,NA,NA,NA
"gerhajo01",1875,1,"NY2","",58,252,29,54,7,3,0,20,0,5,0,2,NA,NA,NA,NA,NA
"hinespa01",1875,1,"CH2","",69,308,45,101,14,4,0,36,6,9,1,0,NA,NA,NA,NA,NA
"jonesch01",1875,1,"KEO","",12,47,4,13,2,4,0,10,1,1,0,5,NA,NA,NA,NA,NA
"jonesch01",1875,2,"HR1","",1,4,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA
"mathebo01",1875,1,"NY2","",70,264,23,48,6,2,0,15,1,2,2,5,NA,NA,NA,NA,NA
"nelsoca01",1875,1,"NY2","",70,276,28,55,7,1,0,23,4,2,9,0,NA,NA,NA,NA,NA
"orourji01",1875,1,"BS1","",75,358,97,106,13,7,6,72,17,5,9,6,NA,NA,NA,NA,NA
"shaffor01",1875,1,"PH2","",19,70,10,17,2,1,0,6,2,0,0,4,NA,NA,NA,NA,NA
"snydepo01",1875,1,"PH2","",66,263,38,64,8,2,1,25,3,8,4,4,NA,NA,NA,NA,NA
"startjo01",1875,1,"NY2","",69,314,58,90,10,5,4,30,1,4,3,0,NA,NA,NA,NA,NA
"suttoez01",1875,1,"PH1","",75,358,83,116,11,7,1,59,13,10,1,3,NA,NA,NA,NA,NA
"whitede01",1875,1,"BS1","",80,371,76,136,23,3,1,60,2,3,3,2,NA,NA,NA,NA,NA
"yorkto01",1875,1,"HR1","",86,375,68,111,14,7,0,37,7,3,3,6,NA,NA,NA,NA,NA
"ansonca01",1876,1,"CHN","NL",66,309,63,110,9,7,2,59,NA,NA,12,8,NA,NA,NA,NA,NA
"burdoja01",1876,1,"HAR","NL",69,309,66,80,9,1,0,23,NA,NA,13,16,NA,NA,NA,NA,NA
"forceda01",1876,1,"PHN","NL",60,284,48,66,6,0,0,17,NA,NA,5,3,NA,NA,NA,NA,NA
"forceda01",1876,2,"NY3","NL",1,3,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA
"gerhajo01",1876,1,"LS1","NL",65,292,33,76,10,3,2,18,NA,NA,3,5,NA,NA,NA,NA,NA
"hinespa01",1876,1,"CHN","NL",64,305,62,101,21,3,2,59,NA,NA,1,3,NA,NA,NA,NA,NA
"jonesch01",1876,1,"CN1","NL",64,276,40,79,17,4,4,38,NA,NA,7,17,NA,NA,NA,NA,NA
"mathebo01",1876,1,"NY3","NL",56,218,19,40,4,1,0,9,NA,NA,3,2,NA,NA,NA,NA,NA
"morrijo01",1876,1,"BSN","NL",66,278,38,73,5,2,0,26,NA,NA,3,5,NA,NA,NA,NA,NA
"orourji01",1876,1,"BSN","NL",70,312,61,102,17,3,2,43,NA,NA,15,17,NA,NA,NA,NA,NA
"snydepo01",1876,1,"LS1","NL",56,224,21,44,4,1,1,9,NA,NA,2,7,NA,NA,NA,NA,NA
"startjo01",1876,1,"NY3","NL",56,264,40,73,6,0,0,21,NA,NA,1,2,NA,NA,NA,NA,NA
"suttoez01",1876,1,"PHN","NL",54,236,45,70,12,7,1,31,NA,NA,3,2,NA,NA,NA,NA,NA
"whitede01",1876,1,"CHN","NL",66,303,66,104,18,1,1,60,NA,NA,7,3,NA,NA,NA,NA,NA
"yorkto01",1876,1,"HAR","NL",67,263,47,68,12,7,1,39,NA,NA,10,4,NA,NA,NA,NA,NA
"ansonca01",1877,1,"CHN","NL",59,255,52,86,19,1,0,32,NA,NA,9,3,NA,NA,NA,NA,NA
"burdoja01",1877,1,"HAR","NL",58,277,35,72,6,0,0,9,NA,NA,2,16,NA,NA,NA,NA,NA
"forceda01",1877,1,"SL3","NL",58,225,24,59,5,3,0,22,NA,NA,11,15,NA,NA,NA,NA,NA
"gerhajo01",1877,1,"LS1","NL",59,250,41,76,6,5,1,35,NA,NA,5,8,NA,NA,NA,NA,NA
"hinespa01",1877,1,"CHN","NL",60,261,44,73,11,7,0,23,NA,NA,1,8,NA,NA,NA,NA,NA
"jonesch01",1877,1,"CN1","NL",17,69,16,21,3,3,1,10,0,0,4,8,0,0,0,0,NA
"jonesch01",1877,2,"CHN","NL",2,8,1,3,1,0,0,2,NA,NA,1,0,NA,NA,NA,NA,NA
"jonesch01",1877,3,"CN1","NL",38,163,36,51,8,7,1,26,NA,NA,10,17,NA,NA,NA,NA,NA
"mathebo01",1877,1,"CN1","NL",15,59,5,10,0,0,0,0,NA,NA,1,2,NA,NA,NA,NA,NA
"morrijo01",1877,1,"BSN","NL",61,242,47,73,5,1,0,28,NA,NA,6,15,NA,NA,NA,NA,NA
"orourji01",1877,1,"BSN","NL",61,265,68,96,14,4,0,23,NA,NA,20,9,NA,NA,NA,NA,NA
"shaffor01",1877,1,"LS1","NL",61,260,38,74,9,5,3,34,NA,NA,9,17,NA,NA,NA,NA,NA
"snydepo01",1877,1,"LS1","NL",61,248,23,64,7,2,2,28,NA,NA,3,14,NA,NA,NA,NA,NA
"startjo01",1877,1,"HAR","NL",60,271,55,90,3,6,1,21,NA,NA,6,2,NA,NA,NA,NA,NA
"suttoez01",1877,1,"BSN","NL",58,253,43,74,10,6,0,39,NA,NA,4,10,NA,NA,NA,NA,NA
"whitede01",1877,1,"BSN","NL",59,266,51,103,14,11,2,49,NA,NA,8,3,NA,NA,NA,NA,NA
"yorkto01",1877,1,"HAR","NL",56,237,43,67,16,7,1,37,NA,NA,3,11,NA,NA,NA,NA,NA
"ansonca01",1878,1,"CHN","NL",60,261,55,89,12,2,0,40,NA,NA,13,1,NA,NA,NA,NA,NA
"bennech01",1878,1,"ML2","NL",49,184,16,45,9,0,1,12,NA,NA,10,26,NA,NA,NA,NA,NA
"burdoja01",1878,1,"BSN","NL",60,246,37,64,12,6,0,25,NA,NA,3,17,NA,NA,NA,NA,NA
"gerhajo01",1878,1,"CN1","NL",60,259,46,77,7,2,0,28,NA,NA,7,14,NA,NA,NA,NA,NA
"hinespa01",1878,1,"PRO","NL",62,257,42,92,13,4,4,50,NA,NA,2,10,NA,NA,NA,NA,NA
"jonesch01",1878,1,"CN1","NL",61,261,50,81,11,7,3,39,NA,NA,4,17,NA,NA,NA,NA,NA
"kellyki01",1878,1,"CN1","NL",60,237,29,67,7,1,0,27,NA,NA,7,7,NA,NA,NA,NA,NA
"morrijo01",1878,1,"BSN","NL",60,233,26,56,5,1,0,23,NA,NA,5,16,NA,NA,NA,NA,NA
"nelsoca01",1878,1,"IN1","NL",19,84,12,11,1,0,0,5,NA,NA,5,11,NA,NA,NA,NA,NA
"orourji01",1878,1,"BSN","NL",60,255,44,71,17,7,1,29,NA,NA,5,21,NA,NA,NA,NA,NA
"shaffor01",1878,1,"IN1","NL",63,266,48,90,19,6,0,30,NA,NA,13,20,NA,NA,NA,NA,NA
"snydepo01",1878,1,"BSN","NL",60,226,21,48,5,0,0,14,NA,NA,1,19,NA,NA,NA,NA,NA
"startjo01",1878,1,"CHN","NL",61,285,58,100,12,5,1,27,NA,NA,2,3,NA,NA,NA,NA,NA
"suttoez01",1878,1,"BSN","NL",60,239,31,54,9,3,1,29,NA,NA,2,14,NA,NA,NA,NA,NA
"wardjo01",1878,1,"PRO","NL",37,138,14,27,5,4,1,15,NA,NA,2,13,NA,NA,NA,NA,NA
"whitede01",1878,1,"CN1","NL",61,258,41,81,4,1,0,29,NA,NA,10,5,NA,NA,NA,NA,NA
"yorkto01",1878,1,"PRO","NL",62,269,56,83,19,10,1,26,NA,NA,8,19,NA,NA,NA,NA,NA
"ansonca01",1879,1,"CHN","NL",51,227,40,72,20,1,0,34,NA,NA,2,2,NA,NA,NA,NA,NA
"broutda01",1879,1,"TRN","NL",39,168,17,46,12,1,4,17,NA,NA,1,18,NA,NA,NA,NA,NA
"burdoja01",1879,1,"BSN","NL",84,359,64,86,10,3,0,36,NA,NA,9,28,NA,NA,NA,NA,NA
"forceda01",1879,1,"BFN","NL",79,316,36,66,5,2,0,8,NA,NA,13,37,NA,NA,NA,NA,NA
"galvipu01",1879,1,"BFN","NL",67,265,34,66,11,6,0,27,NA,NA,1,56,NA,NA,NA,NA,NA
"gerhajo01",1879,1,"CN1","NL",79,313,22,62,12,3,1,39,NA,NA,3,19,NA,NA,NA,NA,NA
"glassja01",1879,1,"CL2","NL",80,325,31,68,9,3,0,29,NA,NA,6,24,NA,NA,NA,NA,NA
"gorege01",1879,1,"CHN","NL",63,266,43,70,17,4,0,32,NA,NA,8,30,NA,NA,NA,NA,NA
"hinespa01",1879,1,"PRO","NL",85,409,81,146,25,10,2,52,NA,NA,8,16,NA,NA,NA,NA,NA
"jonesch01",1879,1,"BSN","NL",83,355,85,112,22,10,9,62,NA,NA,29,38,NA,NA,NA,NA,NA
"kellyki01",1879,1,"CN1","NL",77,345,78,120,20,12,2,47,NA,NA,8,14,NA,NA,NA,NA,NA
"mathebo01",1879,1,"PRO","NL",43,173,25,35,2,0,1,10,NA,NA,7,12,NA,NA,NA,NA,NA
"morrijo01",1879,1,"BSN","NL",84,348,56,98,18,5,0,49,NA,NA,14,32,NA,NA,NA,NA,NA
"nelsoca01",1879,1,"TRN","NL",28,106,17,28,7,1,0,10,NA,NA,8,4,NA,NA,NA,NA,NA
"orourji01",1879,1,"PRO","NL",81,362,69,126,19,9,1,46,NA,NA,13,10,NA,NA,NA,NA,NA
"purcebl01",1879,1,"SR1","NL",63,277,32,72,6,3,0,25,NA,NA,3,13,NA,NA,NA,NA,NA
"purcebl01",1879,2,"CN1","NL",12,50,10,11,0,0,0,4,NA,NA,0,3,NA,NA,NA,NA,NA
"richaha01",1879,1,"BFN","NL",79,336,54,95,18,10,0,37,NA,NA,16,30,NA,NA,NA,NA,NA
"shaffor01",1879,1,"CHN","NL",73,316,53,96,13,0,0,35,NA,NA,6,28,NA,NA,NA,NA,NA
"snydepo01",1879,1,"BSN","NL",81,329,42,78,16,3,2,35,NA,NA,5,31,NA,NA,NA,NA,NA
"startjo01",1879,1,"PRO","NL",66,317,70,101,11,5,2,37,NA,NA,7,4,NA,NA,NA,NA,NA
"suttoez01",1879,1,"BSN","NL",84,339,54,84,13,4,0,34,NA,NA,2,18,NA,NA,NA,NA,NA
"wardjo01",1879,1,"PRO","NL",83,364,71,104,9,4,2,41,NA,NA,7,14,NA,NA,NA,NA,NA
"whitede01",1879,1,"CN1","NL",78,333,55,110,16,6,1,52,NA,NA,6,9,NA,NA,NA,NA,NA
"yorkto01",1879,1,"PRO","NL",81,342,69,106,25,5,1,50,NA,NA,19,28,NA,NA,NA,NA,NA
"ansonca01",1880,1,"CHN","NL",86,356,54,120,24,1,1,74,NA,NA,14,12,NA,NA,NA,NA,NA
"bennech01",1880,1,"WOR","NL",51,193,20,44,9,3,0,18,NA,NA,10,30,NA,NA,NA,NA,NA
"broutda01",1880,1,"TRN","NL",3,12,0,2,0,0,0,1,NA,NA,1,0,NA,NA,NA,NA,NA
"burdoja01",1880,1,"BSN","NL",86,356,58,90,17,4,2,35,NA,NA,8,26,NA,NA,NA,NA,NA
"connoro01",1880,1,"TRN","NL",83,340,53,113,18,8,3,47,NA,NA,13,21,NA,NA,NA,NA,NA
"ewingbu01",1880,1,"TRN","NL",13,45,1,8,1,0,0,5,NA,NA,1,3,NA,NA,NA,NA,NA
"forceda01",1880,1,"BFN","NL",81,290,22,49,10,0,0,17,NA,NA,10,35,NA,NA,NA,NA,NA
"galvipu01",1880,1,"BFN","NL",66,241,25,51,9,2,0,12,NA,NA,5,57,NA,NA,NA,NA,NA
"glassja01",1880,1,"CL2","NL",77,296,37,72,13,3,0,27,NA,NA,2,21,NA,NA,NA,NA,NA
"gorege01",1880,1,"CHN","NL",77,322,70,116,23,2,2,47,NA,NA,21,10,NA,NA,NA,NA,NA
"hinespa01",1880,1,"PRO","NL",85,374,64,115,20,2,3,35,NA,NA,13,17,NA,NA,NA,NA,NA
"jonesch01",1880,1,"BSN","NL",66,280,44,84,15,3,5,37,NA,NA,11,27,NA,NA,NA,NA,NA
"keefeti01",1880,1,"TRN","NL",12,43,4,10,3,0,0,3,NA,NA,1,12,NA,NA,NA,NA,NA
"kellyki01",1880,1,"CHN","NL",84,344,72,100,17,9,1,60,NA,NA,12,22,NA,NA,NA,NA,NA
"lathaar01",1880,1,"BFN","NL",22,79,9,10,3,1,0,3,NA,NA,1,8,NA,NA,NA,NA,NA
"morrijo01",1880,1,"BSN","NL",86,342,51,81,16,8,2,44,NA,NA,11,37,NA,NA,NA,NA,NA
"orourji01",1880,1,"BSN","NL",86,363,71,100,20,11,6,45,NA,NA,21,8,NA,NA,NA,NA,NA
"purcebl01",1880,1,"CN1","NL",77,325,48,95,13,6,1,24,NA,NA,5,13,NA,NA,NA,NA,NA
"richaha01",1880,1,"BFN","NL",83,343,48,89,18,8,0,17,NA,NA,14,37,NA,NA,NA,NA,NA
"shaffor01",1880,1,"CL2","NL",83,338,62,90,14,9,0,21,NA,NA,17,36,NA,NA,NA,NA,NA
"smithpo01",1880,1,"CN1","NL",83,334,35,69,10,9,0,27,NA,NA,6,36,NA,NA,NA,NA,NA
"startjo01",1880,1,"PRO","NL",82,345,53,96,14,6,0,27,NA,NA,13,20,NA,NA,NA,NA,NA
"stoveha01",1880,1,"WOR","NL",83,355,76,94,21,14,6,28,NA,NA,12,46,NA,NA,NA,NA,NA
"suttoez01",1880,1,"BSN","NL",76,288,41,72,9,2,0,25,NA,NA,7,7,NA,NA,NA,NA,NA
"wardjo01",1880,1,"PRO","NL",86,356,53,81,12,2,0,27,NA,NA,6,16,NA,NA,NA,NA,NA
"whitede01",1880,1,"CN1","NL",35,141,21,42,4,2,0,7,NA,NA,9,7,NA,NA,NA,NA,NA
"woodge01",1880,1,"WOR","NL",81,327,37,80,16,5,0,28,NA,NA,10,37,NA,NA,NA,NA,NA
"yorkto01",1880,1,"PRO","NL",53,203,21,43,9,2,0,18,NA,NA,8,29,NA,NA,NA,NA,NA
"ansonca01",1881,1,"CHN","NL",84,343,67,137,21,7,1,82,NA,NA,26,4,NA,NA,NA,NA,NA
"bennech01",1881,1,"DTN","NL",76,299,44,90,18,7,7,64,NA,NA,18,37,NA,NA,NA,NA,NA
"broutda01",1881,1,"BFN","NL",65,270,60,86,18,9,8,45,NA,NA,18,22,NA,NA,NA,NA,NA
"burdoja01",1881,1,"BSN","NL",73,282,36,67,12,4,1,24,NA,NA,7,18,NA,NA,NA,NA,NA
"connoro01",1881,1,"TRN","NL",85,367,55,107,17,6,2,31,NA,NA,15,20,NA,NA,NA,NA,NA
"dennyje01",1881,1,"PRO","NL",85,320,38,77,16,2,1,24,NA,NA,5,44,NA,NA,NA,NA,NA
"ewingbu01",1881,1,"TRN","NL",67,272,40,68,14,7,0,25,NA,NA,7,8,NA,NA,NA,NA,NA
"forceda01",1881,1,"BFN","NL",75,278,21,50,9,1,0,15,NA,NA,11,29,NA,NA,NA,NA,NA
"galvipu01",1881,1,"BFN","NL",62,236,19,50,12,4,0,21,NA,NA,3,70,NA,NA,NA,NA,NA
"gerhajo01",1881,1,"DTN","NL",80,297,35,72,13,6,0,36,NA,NA,7,31,NA,NA,NA,NA,NA
"glassja01",1881,1,"CL2","NL",85,335,49,86,9,5,0,33,NA,NA,15,8,NA,NA,NA,NA,NA
"gorege01",1881,1,"CHN","NL",73,309,86,92,18,9,1,44,NA,NA,27,23,NA,NA,NA,NA,NA
"hinespa01",1881,1,"PRO","NL",80,361,65,103,27,5,2,31,NA,NA,13,12,NA,NA,NA,NA,NA
"keefeti01",1881,1,"TRN","NL",46,152,18,35,7,1,0,19,NA,NA,21,26,NA,NA,NA,NA,NA
"kellyki01",1881,1,"CHN","NL",82,353,84,114,27,3,2,55,NA,NA,16,14,NA,NA,NA,NA,NA
"mathebo01",1881,1,"PRO","NL",16,57,6,11,1,0,0,4,NA,NA,5,6,NA,NA,NA,NA,NA
"mathebo01",1881,2,"BSN","NL",19,71,2,12,2,0,0,4,NA,NA,0,5,NA,NA,NA,NA,NA
"morrijo01",1881,1,"BSN","NL",81,311,47,90,19,3,1,39,NA,NA,12,30,NA,NA,NA,NA,NA
"mullato01",1881,1,"DTN","NL",5,19,0,5,0,0,0,1,NA,NA,0,0,NA,NA,NA,NA,NA
"nelsoca01",1881,1,"WOR","NL",24,103,13,29,1,0,1,15,NA,NA,5,6,NA,NA,NA,NA,NA
"orourji01",1881,1,"BFN","NL",83,348,71,105,21,7,0,30,NA,NA,27,18,NA,NA,NA,NA,NA
"purcebl01",1881,1,"CL2","NL",20,80,3,14,2,1,0,4,NA,NA,5,8,NA,NA,NA,NA,NA
"purcebl01",1881,2,"BFN","NL",30,113,15,33,7,2,0,17,NA,NA,8,8,NA,NA,NA,NA,NA
"richaha01",1881,1,"BFN","NL",83,344,62,100,18,9,2,53,NA,NA,12,27,NA,NA,NA,NA,NA
"shaffor01",1881,1,"CL2","NL",85,343,48,88,13,6,1,34,NA,NA,23,20,NA,NA,NA,NA,NA
"smithpo01",1881,1,"CL2","NL",10,34,1,4,0,0,0,3,NA,NA,0,8,NA,NA,NA,NA,NA
"smithpo01",1881,2,"BFN","NL",3,11,3,0,0,0,0,1,NA,NA,3,5,NA,NA,NA,NA,NA
"smithpo01",1881,3,"WOR","NL",11,41,1,3,0,0,0,2,NA,NA,3,5,NA,NA,NA,NA,NA
"snydepo01",1881,1,"BSN","NL",62,219,14,50,8,0,0,16,NA,NA,3,23,NA,NA,NA,NA,NA
"startjo01",1881,1,"PRO","NL",79,348,56,114,12,6,0,29,NA,NA,9,7,NA,NA,NA,NA,NA
"stoveha01",1881,1,"WOR","NL",75,341,57,92,25,7,2,30,NA,NA,12,23,NA,NA,NA,NA,NA
"suttoez01",1881,1,"BSN","NL",83,333,43,97,12,4,0,31,NA,NA,13,9,NA,NA,NA,NA,NA
"wardjo01",1881,1,"PRO","NL",85,357,56,87,18,6,0,53,NA,NA,5,10,NA,NA,NA,NA,NA
"whitede01",1881,1,"BFN","NL",78,319,58,99,24,4,0,53,NA,NA,9,8,NA,NA,NA,NA,NA
"woodge01",1881,1,"DTN","NL",80,337,54,100,18,9,2,32,NA,NA,19,32,NA,NA,NA,NA,NA
"yorkto01",1881,1,"PRO","NL",85,316,57,96,23,5,2,47,NA,NA,29,26,NA,NA,NA,NA,NA
"brownpe01",1882,1,"LS2","AA",69,288,67,109,17,3,5,NA,0,NA,26,NA,NA,NA,NA,NA,NA
"brownto01",1882,1,"BL2","AA",45,181,30,55,5,2,1,23,0,NA,6,NA,NA,NA,NA,NA,NA
"mcphebi01",1882,1,"CN2","AA",78,311,43,71,8,7,1,31,0,NA,11,NA,NA,NA,NA,NA,NA
"mullato01",1882,1,"LS2","AA",77,303,46,78,13,1,0,NA,0,NA,13,NA,NA,NA,NA,NA,NA
"smithpo01",1882,1,"PH4","AA",20,65,10,6,0,0,0,2,0,NA,12,NA,NA,NA,NA,NA,NA
"smithpo01",1882,2,"LS2","AA",3,11,1,2,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA
"snydepo01",1882,1,"CN2","AA",72,309,49,90,12,2,1,50,0,NA,9,NA,NA,NA,NA,NA,NA
"ansonca01",1882,1,"CHN","NL",82,348,69,126,29,8,1,83,NA,NA,20,7,NA,NA,NA,NA,NA
"bennech01",1882,1,"DTN","NL",84,342,43,103,16,10,5,51,NA,NA,20,33,NA,NA,NA,NA,NA
"broutda01",1882,1,"BFN","NL",84,351,71,129,23,11,6,63,NA,NA,21,7,NA,NA,NA,NA,NA
"burdoja01",1882,1,"BSN","NL",83,319,36,76,6,7,0,27,NA,NA,9,24,NA,NA,NA,NA,NA
"connoro01",1882,1,"TRN","NL",81,349,65,115,22,18,4,42,NA,NA,13,20,NA,NA,NA,NA,NA
"dennyje01",1882,1,"PRO","NL",84,329,54,81,10,9,2,42,NA,NA,4,46,NA,NA,NA,NA,NA
"ewingbu01",1882,1,"TRN","NL",74,328,67,89,16,11,2,29,NA,NA,10,15,NA,NA,NA,NA,NA
"forceda01",1882,1,"BFN","NL",73,278,39,67,10,1,1,28,NA,NA,12,17,NA,NA,NA,NA,NA
"galvipu01",1882,1,"BFN","NL",54,206,21,44,7,4,0,17,NA,NA,2,49,NA,NA,NA,NA,NA
"glassja01",1882,1,"CL2","NL",84,358,66,104,27,9,4,46,NA,NA,13,9,NA,NA,NA,NA,NA
"gorege01",1882,1,"CHN","NL",84,367,99,117,15,7,3,51,NA,NA,29,19,NA,NA,NA,NA,NA
"hinespa01",1882,1,"PRO","NL",84,379,73,117,28,10,4,34,NA,NA,10,14,NA,NA,NA,NA,NA
"keefeti01",1882,1,"TRN","NL",53,189,24,43,8,7,1,19,NA,NA,17,46,NA,NA,NA,NA,NA
"kellyki01",1882,1,"CHN","NL",84,377,81,115,37,4,1,55,NA,NA,10,27,NA,NA,NA,NA,NA
"mathebo01",1882,1,"BSN","NL",45,169,17,38,6,0,0,13,NA,NA,8,18,NA,NA,NA,NA,NA
"morrijo01",1882,1,"BSN","NL",83,349,73,101,19,11,2,54,NA,NA,18,29,NA,NA,NA,NA,NA
"orourji01",1882,1,"BFN","NL",84,370,62,104,15,6,2,37,NA,NA,13,13,NA,NA,NA,NA,NA
"pfefffr01",1882,1,"TRN","NL",85,330,26,72,7,4,1,43,NA,NA,1,24,NA,NA,NA,NA,NA
"purcebl01",1882,1,"BFN","NL",84,380,79,105,18,6,2,40,NA,NA,14,27,NA,NA,NA,NA,NA
"richaha01",1882,1,"BFN","NL",83,354,61,96,20,8,2,57,NA,NA,11,33,NA,NA,NA,NA,NA
"shaffor01",1882,1,"CL2","NL",84,313,37,67,14,2,3,28,NA,NA,27,27,NA,NA,NA,NA,NA
"startjo01",1882,1,"PRO","NL",82,356,58,117,8,10,0,48,NA,NA,11,7,NA,NA,NA,NA,NA
