"V1","V2","V3","V4","V5","V6"
NA,-226.1,-106,26.4,95.8,NA
NA,-139.3,-4,85.1,NA,NA
NA,NA,-112.1,24.8,96.2,NA
NA,NA,-103.3,27.6,152.4,NA
NA,-236.6,-90.8,29,NA,NA
NA,-179.5,-16.8,78.1,NA,NA
NA,-220.3,-108,26.3,138.4,NA
NA,-231.3,-104.2,27.5,138.8,NA
NA,NA,-87.9,29.7,165.6,NA
NA,NA,-102.1,17.4,194.3,NA
NA,-129.3,-19.2,79.3,NA,NA
NA,-166.1,-29.7,75.9,NA,NA
NA,-206.6,-75.6,28.2,195.3,NA
NA,-168.1,-31.1,65.6,236.2,NA
NA,-98.6,-6,119,NA,NA
NA,-209.2,-40.2,82.1,NA,NA
NA,-248.9,-122.7,10.3,122.7,NA
NA,-161.4,-19.3,102.4,232.1,NA
NA,-239,-30,72.9,224.2,NA
NA,-244.1,-102.3,25.9,149.4,NA
NA,-246.9,-120.9,5.8,130.8,NA
NA,-200.2,-73.9,27.7,152.4,NA
NA,-232,-68.6,51.2,177.7,NA
NA,-193.1,-70.7,52.3,204.5,NA
NA,-200.8,-55.1,71.8,213.8,NA
NA,-223.2,-61.3,69.8,204.8,NA
NA,-146.4,-3.3,104.8,230.5,NA
NA,-245.2,-109.9,15.3,130.1,NA
NA,-227.6,-105,14.5,130.9,NA
NA,-208.3,-93.5,32.4,140.5,NA
NA,-150.6,-5.3,120.2,NA,NA
NA,-233.8,-83.4,27.5,139.9,NA
NA,-215.4,-85.9,27.3,137.3,NA
NA,-142.8,-3.6,85.9,224.6,NA
NA,-169.3,-28.1,73,195.8,NA
NA,-173.8,-31.8,70.9,215.7,NA
NA,-206.5,-102.1,18.1,115.1,NA
NA,NA,-101.5,26,165.2,NA
NA,-188.4,-54.2,75,189.6,NA
NA,-168,-36.4,77.7,209.3,NA
NA,-226.5,-81.5,27.6,192.9,NA
NA,-214.8,-57.4,67.2,214.8,NA
NA,-180.6,-59.1,67.8,188.7,NA
NA,-210.9,-73.2,28.2,182.2,NA
NA,-141.5,-6.2,76.6,222.7,NA
NA,-142.9,-18.5,83.4,221.7,NA
NA,-246.2,-104.7,25.9,136.8,NA
NA,-211.3,-99.9,26.4,131.9,248.9
NA,-213.1,-35.9,71.6,207.3,NA
-201.6,-103.9,-12.1,65.8,211,NA
NA,-203.9,-56,29.7,143.7,NA
NA,-210.6,-73.2,26.5,130.8,248.7
NA,-204.3,-70.8,29.4,246.1,NA
NA,-161.4,-33.4,67.7,200.9,NA
NA,-223,-94.3,27.5,134.7,NA
NA,-239.2,-94.3,26.5,149.8,NA
NA,-177.9,-26.6,79.5,220.5,NA
NA,-221.4,-83.2,27.6,144.1,NA
NA,-201.7,-79.4,55,159.9,NA
NA,-238.1,-78.5,26.3,128,241.5
NA,-198.2,-64.9,29,137.1,NA
NA,NA,-161.2,18.1,136.1,NA
NA,-227.2,-99.3,27.5,125.3,249.1
NA,-153,-20.4,74.4,217.8,NA
NA,-216.6,-82.2,29,118.7,NA
NA,-155.9,-24.4,75.6,180,NA
NA,NA,-118.9,15.9,137.1,NA
NA,-222.5,-103.2,19.8,178.8,NA
NA,-165.2,-28.6,74.8,181.6,NA
NA,-161.6,-19.7,71.7,206.9,NA
NA,-193.8,-40.6,71.4,194.7,NA
NA,-206.6,-71.4,29.6,175.6,NA
-229.8,-118.2,-7.6,73.8,206.9,NA
NA,-182.7,-55.4,29.4,135,244.2
NA,-151.2,-28.5,67.8,171,NA
NA,-168.5,-38.9,73.8,191.6,NA
NA,-150.3,-22.9,68.8,193.9,NA
NA,-185.2,-58.6,59.8,148.4,NA
-238.8,-143.4,-33.7,66.6,174.2,NA
NA,-155.6,-41.5,74.9,186.1,NA
NA,-130.8,-33.1,70,153.2,NA
-239.4,-128,-26.9,72.2,155,NA
NA,-147,-38.1,69.1,168.3,NA
NA,-143.5,-21,72.4,175.2,NA
NA,-170.2,-60.2,29.4,131.8,NA
NA,-215.1,-91.3,27.6,140.8,NA
NA,-216,-91.8,24.4,126.3,238.8
NA,-131.6,-41.3,30.1,135.3,248.1
NA,NA,-89.8,22.7,127.7,NA
NA,-205.3,-87.2,27.6,117.4,238.2
NA,-201.8,-77.9,26.4,137.8,238.6
NA,-206.4,-92,21.5,119.4,234.4
NA,NA,-91.4,8.2,135.2,NA
NA,-154.5,-37.8,70.3,194.5,NA
NA,-205.8,-70.7,66.4,193.6,NA
NA,-170.7,-19.8,70.8,187.7,NA
NA,-192.3,-80.8,15.4,120,244.1
NA,-206.8,-60.3,29.8,144.4,NA
NA,-229.4,-101.3,27.6,154.9,NA
NA,-139.8,-11.6,81.2,175.5,NA
NA,-149.8,-45.4,69.1,190,NA
NA,-242.1,-106,21.9,120,NA
NA,-248.4,-97.4,26.3,144.7,NA
NA,-239.2,-89.5,27.1,153,NA
NA,-159.7,-23.3,69.6,202.6,NA
NA,-178,-52.8,29,137.3,NA
NA,-184,-62.2,65,191.2,NA
NA,-179.9,-9.1,107.6,NA,NA
NA,-199.9,-104.4,25.6,126.1,249
NA,-128,-3.9,83.4,NA,NA
NA,-232.9,-103.6,21.6,121.4,NA
NA,-146.5,-2.9,113.7,241.9,NA
NA,-214.1,-100.4,8.1,108.2,NA
NA,NA,-128,10.8,88.7,245.2
NA,-234.3,-111.6,3.6,134.2,NA
NA,-196.8,-67.9,29.4,218.6,NA
NA,-208.7,-71.1,28.9,147,NA
NA,-230.5,-92.2,27.7,136.7,NA
NA,-243.3,-109.3,13.3,146.5,NA
NA,-133.1,-0.1,114.6,237.2,NA
NA,-134.7,-5.1,81.8,NA,NA
NA,-227.7,-96.2,26.3,142.6,241.8
NA,-207.6,-64.2,31.6,207,NA
NA,-207.7,-72.8,27.8,145,NA
NA,-236,-84.5,27.6,141.6,NA
NA,NA,-127.3,14.5,81.3,212.8
NA,-147.6,-17.7,124.8,248.7,NA
NA,-184.5,-42.1,69.7,205.2,NA
NA,-246.4,-99.5,27,153.3,NA
NA,-206.8,-76.9,27.8,146.4,NA
NA,-195.7,-55.8,77.2,207.4,NA
-221.7,-120.4,-14.8,72.2,182.1,NA
-248.9,-136.7,-17.6,75.9,188,NA
-247.8,-141.5,-19.5,78.5,190.5,NA
-249.9,-130.5,-21.2,67.3,145.6,NA
NA,-197.7,-81.3,25.9,140.9,NA
NA,-238.9,-74.7,66.6,189.5,NA
NA,-208.7,-20.1,73.6,209.7,NA
NA,-148.8,-29.5,69.5,154.6,NA
NA,-154.3,-21.4,92.3,228.1,NA
NA,-215.5,-81.3,68.5,205.3,NA
NA,-244.1,-125,84.4,197,NA
NA,-145,-43.3,25.8,114.8,223.7
NA,-170.4,-23.5,70.4,210.4,NA
NA,NA,-13.6,96.2,215.3,NA
NA,NA,-41.7,72.2,192.9,NA
NA,NA,-101.4,27.7,153.2,NA
NA,-185.6,-58.4,69.2,192.2,NA
NA,-210.8,-46.6,29.8,151,NA
NA,NA,-210.4,11.3,166,NA
NA,-139.6,-3,83.4,208.8,NA
NA,NA,-111.9,27.3,134.3,NA
NA,-151,-8,79.7,219.1,NA
NA,-150.3,-14.2,82.8,202.9,NA
NA,-117.4,-16.6,78,193.8,NA
NA,-230.5,-106.6,26.2,141.2,NA
NA,-213.4,-108.9,19.2,117.9,235.6
NA,-181.6,-73.1,10.5,100.2,190.5
NA,-169.1,-71.2,24.6,111.5,224.5
NA,-177.6,-72.8,26.2,139,218.7
NA,-124.8,-4.4,87,199.7,NA
NA,-212.2,-95.7,11.6,107.3,214.5
-231.6,-127.2,-14.7,103,181.3,NA
NA,NA,-123.5,9.5,110.6,244.3
NA,NA,-133,27.7,144.2,NA
NA,-188.8,-77,27.7,139.2,NA
NA,-205,-73.7,28,142.6,NA
NA,-182.7,-63.2,27.8,129.4,234.1
NA,-177.4,-55.1,56.7,166.9,NA
-230.2,-128.8,-9.7,76.7,199.8,NA
NA,-217.3,-85.2,26.9,127.7,242.2
NA,NA,-118.8,6.1,104,208.5
NA,-211.8,-96.8,11.9,111.9,229.2
NA,-181,-77.9,27.8,138.1,NA
NA,-220,-96.9,8.3,121.6,232.8
NA,-166.8,-23.1,72.7,188.4,NA
NA,-247,-104.8,15.3,126.9,240.6
NA,-236.6,-102.6,10.2,124.3,248.4
NA,-236.2,-110.7,12.6,127.8,230.1
NA,-209.9,-93.6,26.3,130.1,NA
NA,-188.9,-61.6,28.5,170.6,NA
NA,-201.3,-43.1,72.8,205.5,NA
NA,-210.4,-77.7,28,133.2,242
NA,-235.3,-75.6,11.6,108.5,197.1
NA,-175.1,-51.7,64.7,181,NA
NA,NA,-106.7,28,161.1,NA
NA,-222,-107.8,2.6,81.9,190.8
NA,-200.7,-84.7,24.6,121.3,229.2
-239.8,-123.3,-13,70.2,149.4,NA
NA,-160.9,-43.2,69.6,153.3,NA
NA,-138.4,-14.9,73,184.4,NA
NA,NA,-95.1,71.1,223.4,NA
NA,-227.5,-83.3,27.7,145.8,NA
NA,NA,-112.6,27.9,188.5,NA
NA,NA,-120.2,27.6,155.7,NA
NA,-163.1,-52.6,66,206.1,NA
NA,-205.2,-100.7,12.1,95.7,224.8
NA,-190.8,-72.1,28.1,128.2,NA
NA,NA,-130.7,10.1,81.5,221.9
NA,-180.1,-49.1,65.3,184.8,NA
NA,-215.2,-81,64.6,200.7,NA
-243.3,-128.8,-8.4,75.9,189,NA
NA,-145,-10.6,91.8,231,NA
NA,-241.6,-113.4,27.3,138.8,NA
NA,-182.5,-75,28.2,137.1,NA
NA,-177.4,-65.9,63.2,189.9,NA
NA,-143.3,-10,141,NA,NA
NA,-242.2,-62.2,29,198.5,NA
NA,-247.8,-95.3,28.3,194.7,NA
NA,-164.6,-80.1,26.2,126.6,243.6
NA,-207.6,-110,2.8,84.9,207.1
NA,-243.3,-87.4,62.4,193.3,NA
NA,-168,-3,73.8,183.9,NA
NA,-234.5,-104.8,27.5,133.2,NA
NA,-189.5,-64.1,59.7,140.7,NA
NA,-156.3,-38.1,73,146.8,NA
NA,-191.5,-87,27.8,137.6,246
NA,-171.2,-66.7,28.4,141.8,248.4
NA,-221.8,-93.5,27.8,130.1,NA
NA,-158.8,-15.1,73.6,199.8,NA
NA,-177.5,-1.9,117.9,223.2,NA
-196.9,-105,-2.3,76.3,178.8,NA
NA,-196.2,-94.9,4.3,84.2,183.4
NA,-150.3,-39.9,68.9,172.3,NA
-213.9,-107.7,-7.5,92.7,211.5,NA
NA,-215.9,-85,19.4,103.3,224.2
NA,-139.7,-24.3,81,211.8,NA
NA,NA,-159.4,28.3,NA,NA
NA,-229,-107.4,19.5,137,NA
NA,NA,-158.4,5.6,132.9,NA
NA,-144.7,-38.2,67,152.7,NA
NA,-222.1,-84,26.6,140,NA
NA,-163,-46.6,74,204.2,NA
NA,-201.9,-85.3,22.7,138.4,247.5
NA,-176.6,-64.6,47.8,160.6,NA
NA,-234.3,-106.7,25,114.7,229.3
NA,-152.4,-31.7,70.4,182.2,NA
NA,-163.9,-53.7,56.3,146.1,NA
NA,-125,-1.4,108,220.9,NA
-235.9,-138.1,-28.1,63.1,178.3,NA
NA,NA,-116.3,6,109.7,222.8
NA,-183.8,-8.7,130,NA,NA
NA,-181.8,-8.5,84.2,216.6,NA
NA,-235.1,-99.5,27.9,152.4,NA
NA,NA,-136,84.2,219.6,NA
NA,NA,-155.2,21,130.3,NA
NA,-173,-43.3,81.3,213.6,NA
NA,NA,-129.1,14.8,119.3,NA
NA,NA,-138.9,9.4,121.9,NA
NA,-198.5,-15.9,115.6,233.5,NA
NA,-138.6,-3,133.5,NA,NA
NA,-226.1,-69.5,30,165.4,NA
NA,-172.7,-47.6,29.2,144.5,NA
NA,-194.4,-78.9,64.6,135.9,NA
NA,-183,-60.9,79.1,241.8,NA
NA,-222.8,-105,24.6,112.1,234.4
NA,-217.7,-91,27.5,144.6,NA
-231.9,-128.3,-20.4,73.7,189.9,NA
NA,-179.1,-65.2,28,155.5,NA
NA,-139.5,-18.9,82.8,215.6,NA
NA,-247.4,-99.2,26.2,122.7,247.4
NA,-193.6,-51,64.9,170.2,NA
NA,NA,-145.8,27.6,142.7,NA
NA,NA,-143,16.1,142.4,NA
NA,NA,-106.4,19.3,117.6,NA
NA,-199.4,-67.7,27.6,137.1,246.9
NA,-200.6,-59.6,197.8,NA,NA
NA,-172.6,-27.3,65.9,134.9,242.5
NA,-195.3,-84.4,26.2,133.5,NA
NA,-206,-101.6,80.4,192,NA
NA,-157.1,-54.3,60.8,157.9,NA
NA,-140.7,-24.7,76.6,159.1,NA
NA,-151.9,-37.4,69.1,166.6,NA
-239.9,-140.4,-41.6,64.5,149.7,NA
NA,-157.9,-44.5,55.3,180.4,NA
NA,-168.8,-55.3,46.5,164.2,NA
NA,-220.9,-102.8,10,78.7,185.8
NA,-202.8,-61.9,30,146.7,NA
NA,-217.5,-90,29.8,172.4,NA
NA,NA,-136.6,27.1,186.3,NA
NA,-234,-97.2,29.7,219.5,NA
NA,NA,-127,28,164,NA
NA,NA,-108.9,26.5,152.8,NA
NA,NA,-46.7,70.4,187.4,NA
NA,NA,-157.2,9.6,136.5,NA
NA,-157.6,-6,126.3,NA,NA
NA,-159.3,-11.3,81.4,NA,NA
NA,-226.7,-83.5,66.8,229.2,NA
NA,NA,-74.3,69.8,223,NA
NA,-160.5,-36.2,72.3,201.5,NA
NA,-194.9,-58.8,68.8,184.4,NA
-227.8,-129.1,-20.9,66.3,166.8,NA
NA,-221.8,-79.7,17.3,111,207.4
NA,-191,-79.3,27.3,130.9,236.8
NA,-203,-102.6,1.7,101.5,208.1
-232.8,-116.6,-17.3,65.8,167.6,NA
NA,NA,-18.5,70.2,173.8,NA
-245.2,-147.9,-47.9,60.9,147.7,NA
NA,-210.2,-107.6,3.6,103.1,218.5
NA,-213.2,-99,15.5,93.4,196.4
-224.6,-104.6,-1.6,104.7,229.5,NA
NA,-148.3,-39.4,32.3,133,243
NA,-200.6,-98.6,77.3,170.3,NA
NA,-168.2,-54.3,66.2,169.5,NA
NA,-170.8,-44.1,61.7,183.9,NA
NA,-232.7,-89.4,8.9,108,235.8
NA,-217.2,-97.5,17,128.6,245.6
NA,-166.8,-49.5,52,135.3,NA
-234,-140.8,-56.5,28,114.3,222.9
NA,-141.7,-35.3,69.6,153.3,NA
NA,-157.9,-52.7,59.1,163,NA
NA,-181.3,-59.2,61.5,141.1,NA
NA,-188,-67.3,24.1,122.3,243.2
NA,-233.5,-117.8,2.7,109.4,220.8
NA,-203.6,-95.9,14.6,133.7,229.8
NA,NA,-107.2,7.2,126.9,NA
NA,-199.9,-78.1,6.5,91.2,205.4
NA,-174.3,-67.6,28.3,131.9,NA
NA,-188.7,-49.4,73.9,194.7,NA
-239,-131.3,-12.9,73.6,192.6,NA
-221.3,-116.8,-15.6,72,160.1,NA
NA,-175.3,-18.5,86.3,195.6,NA
NA,-233,-115.4,11.5,115.9,249.1
NA,-222.7,-92.6,24.1,134.2,248.2
NA,-218.2,-96.8,27.6,138.7,NA
NA,-213.8,-88.1,21,127.3,NA
NA,-229.9,-106.6,16.9,130.9,247.5
NA,-248.6,-106.1,25.7,143.9,NA
NA,-206.5,-78.4,27,140.6,NA
NA,-217.6,-103,14.3,137.2,NA
NA,-138.1,-16.5,76.7,179.7,NA
NA,NA,-135.5,11.6,124.8,NA
NA,-228.4,-111.2,6.4,122.7,NA
NA,-209,-93.8,10.7,121.9,237.3
NA,-138,-21.1,73,194.2,NA
NA,-210.1,-44.8,70.6,185.6,NA
NA,-174.6,-44,74.1,194.6,NA
NA,-202.4,-83,26.5,122.6,239
NA,-141.7,-11.7,87.9,207.2,NA
NA,NA,-208.3,3.1,109.1,NA
NA,-188.8,-16.8,109.2,218.8,NA
NA,-223.1,-127.4,1,108.9,231
NA,-147.6,-29.7,67.2,152.7,NA
NA,-223.8,-105.2,27.7,142.9,NA
NA,-228.1,-98.5,28.1,166.5,NA
NA,-194.8,-25.4,69.8,169.9,NA
NA,-164.6,-65.4,26.4,116.1,196.7
NA,-169,-43.1,67.7,190.3,NA
NA,-197.1,-98.2,22.1,124.6,236.1
NA,-156.2,-32.9,63.3,182.8,NA
NA,-220.6,-114.2,9.7,106.4,227.9
-219.9,-120.9,-1.3,99.5,207.6,NA
NA,-240.5,-110.3,26.1,142.8,NA
NA,-239.6,-121.4,2.9,124.9,NA
NA,-139.8,-7.3,121,NA,NA
NA,-212,-66.2,50.4,178.2,NA
NA,-232.7,-109.2,18.4,127.5,NA
NA,-236.3,-115.1,5.1,109,212
-241.2,-107.1,-9.1,95.1,198.6,NA
-226.7,-143.8,-30.4,75.8,196.6,NA
NA,-131.8,-26.5,64.7,177.2,NA
NA,-144.9,-0.9,105.3,230.9,NA
NA,-214,-81.8,66.1,191.3,NA
NA,-210.6,-94.3,16.7,125.5,239.7
-215.8,-114.8,-18.4,65.3,171.6,249.7
NA,-156,-14,113.7,249.3,NA
NA,-210.5,-41.9,NA,NA,NA
NA,-189.2,-72,56.8,133.8,246.7
NA,-214.2,-102.2,5.5,75.6,154.3
-219.6,-107.9,-16,101.7,186,NA
NA,-153,-38,61.3,144.4,245.9
NA,-179.8,-63.4,56,157.5,NA
NA,-174.5,-44.8,73.3,179.7,NA
NA,-206.8,-108.9,3.7,102.1,210.3
NA,-169.5,-79.7,27.9,129.4,242.8
-222.2,-104.6,-2.4,84.3,204.7,NA
-236.3,-124,-6.8,95.7,196,NA
NA,-216.5,-90.2,27.8,138.9,NA
NA,-163.2,-43.6,69.5,173.9,NA
NA,-207.3,-88.3,9.6,104.1,218
-242.6,-142,-21.8,69.8,148.7,NA
-235.9,-128.8,-33.1,68.8,177.1,NA
NA,-140.8,-38.7,58.1,186.3,NA
NA,-149.5,-40.3,62.8,139.7,242.5
-247.6,-157.8,-53.3,28.3,122.9,227.6
NA,-154.9,-50.8,28.1,119.9,201.1
NA,-180.7,-70.9,33.7,114.8,222.5
