"x","y","age"
0.417,0.309,0
0.54,0.29,0
0.539,0.291,0
0.538,0.289,0
0.628,0.261,0
0.679,0.181,0
0.948,0.07,0
0.808,0.218,0
0.827,0.244,0
0.821,0.242,0
0.784,0.251,0
0.759,0.271,0
0.787,0.248,0
0.759,0.313,0
0.764,0.313,0
0.736,0.313,0
0.687,0.273,0
0.71,0.226,0
0.734,0.273,0
0.348,0.554,0
0.578,0.308,0
0.584,0.304,0
0.587,0.302,0
0.575,0.299,0
0.592,0.313,0
0.549,0.544,0
0.644,0.352,0
0.65,0.348,0
0.922,0.191,0
0.924,0.187,0
0.788,0.09,0
0.81,0.289,0
0.85,0.298,0
0.869,0.293,0
0.972,0.281,0
0.971,0.281,0
0.827,0.343,0
0.823,0.343,0
0.754,0.32,0
0.752,0.318,0
0.702,0.368,0
0.699,0.399,0
0.78,0.396,0
0.792,0.442,0
0.997,0.523,0
0.997,0.526,0
0.996,0.529,0
0.259,0.421,0
0.266,0.421,0
0.967,0.118,0
0.431,0.334,0
0.427,0.336,0
0.479,0.371,0
0.491,0.438,0
0.441,0.467,0
0.361,0.403,0
0.364,0.401,0
0.372,0.413,0
0.319,0.448,0
0.249,0.448,0
0.158,0.367,0
0.242,0.478,0
0.236,0.489,0
0.228,0.486,0
0.191,0.561,0
0.978,0.529,0
0.893,0.478,0
0.896,0.484,0
0.784,0.554,0
0.859,0.528,0
0.899,0.507,0
0.884,0.503,0
0.991,0.644,0
0.973,0.639,0
0.976,0.696,0
0.93,0.618,0
0.963,0.696,0
0.963,0.698,0
0.986,0.734,0
0.994,0.722,0
0.994,0.887,0
0.976,0.873,0
0.97,0.869,0
0.946,0.861,0
0.981,0.81,0
0.917,0.77,0
0.94,0.798,0
0.93,0.883,0
0.847,0.697,0
0.863,0.819,0
0.862,0.819,0
0.604,0.897,0
0.597,0.888,0
0.522,0.953,0
0.581,0.871,0
0.611,0.826,0
0.618,0.818,0
0.703,0.736,0
0.636,0.787,0
0.518,0.889,0
0.456,0.96,0
0.458,0.922,0
0.454,0.93,0
0.458,0.929,0
0.481,0.882,0
0.496,0.86,0
0.484,0.86,0
0.483,0.86,0
0.482,0.869,0
0.551,0.839,0
0.508,0.883,0
0.728,0.689,0
0.724,0.689,0
0.66,0.707,0
0.633,0.747,0
0.657,0.722,0
0.674,0.573,0
0.662,0.622,0
0.594,0.772,0
0.556,0.783,0
0.563,0.783,0
0.567,0.783,0
0.623,0.664,0
0.632,0.67,0
0.628,0.654,0
0.623,0.646,0
0.536,0.509,0
0.481,0.529,0
0.443,0.519,0
0.438,0.511,0
0.439,0.513,0
0.639,0.638,0
0.638,0.64,0
0.637,0.636,0
0.633,0.638,0
0.638,0.638,0
0.601,0.726,0
0.573,0.725,0
0.561,0.756,0
0.56,0.694,0
0.547,0.702,0
0.542,0.687,0
0.562,0.72,0
0.502,0.728,0
0.499,0.73,0
0.498,0.73,0
0.513,0.824,0
0.514,0.813,0
0.494,0.798,0
0.366,0.929,0
0.364,0.929,0
0.396,0.92,0
0.394,0.931,0
0.259,0.95,0
0.266,0.911,0
0.207,0.95,0
0.157,0.924,0
0.956,0.591,0
0.953,0.588,0
0.926,0.618,0
0.904,0.594,0
0.907,0.649,0
0.852,0.688,0
0.841,0.722,0
0.651,0.851,0
0.648,0.838,0
0.651,0.797,0
0.582,0.858,0
0.578,0.858,0
0.627,0.882,0
0.41,0.982,0
0.49,0.987,0
0.028,0.871,0
0.076,0.78,0
0.096,0.751,0
0.106,0.762,0
0.109,0.779,0
0.123,0.774,0
0.066,0.634,0
0.071,0.647,0
0.04,0.612,0
0.026,0.594,0
0.066,0.591,0
0.117,0.569,0
0.146,0.591,0
0.152,0.587,0
0.092,0.571,0
0.148,0.603,0
0.143,0.64,0
0.156,0.64,0
0.177,0.631,0
0.157,0.696,0
0.169,0.687,0
0.174,0.707,0
0.124,0.773,0
0.169,0.686,0
0.042,0.748,0
0.037,0.749,0
0.161,0.779,0
0.147,0.838,0
0.113,0.858,0
0.172,0.883,0
0.17,0.889,0
0.189,0.887,0
0.193,0.884,0
0.181,0.732,0
0.186,0.628,0
0.122,0.574,0
0.224,0.572,0
0.23,0.582,0
0.23,0.581,0
0.216,0.529,0
0.212,0.492,0
0.247,0.526,0
0.23,0.542,0
0.221,0.544,0
0.228,0.71,0
0.228,0.711,0
0.232,0.711,0
0.232,0.712,0
0.264,0.737,0
0.243,0.656,0
0.282,0.579,0
0.268,0.538,0
0.311,0.59,0
0.254,0.652,0
0.314,0.587,0
0.274,0.588,0
0.276,0.587,0
0.276,0.588,0
0.3,0.589,0
0.303,0.529,0
0.346,0.49,0
0.352,0.452,0
0.383,0.479,0
0.356,0.514,0
0.2,0.418,0
0.39,0.576,0
0.403,0.589,0
0.396,0.584,0
0.388,0.588,0
0.371,0.583,0
0.348,0.613,0
0.36,0.598,0
0.391,0.626,0
0.292,0.68,0
0.292,0.684,0
0.303,0.682,0
0.331,0.711,0
0.37,0.797,0
0.27,0.423,1
0.306,0.368,1
0.787,0.11,1
0.81,0.112,1
0.81,0.082,1
0.817,0.108,1
0.97,0.047,1
0.937,0.066,1
0.804,0.1,1
0.934,0.074,1
0.838,0.093,1
0.811,0.099,1
0.216,0.068,1
0.36,0.102,1
0.258,0.104,1
0.116,0.112,1
0.139,0.112,1
0.15,0.109,1
0.119,0.118,1
0.408,0.146,1
0.456,0.128,1
0.462,0.147,1
0.434,0.286,1
0.513,0.127,1
0.529,0.142,1
0.567,0.146,1
0.65,0.15,1
0.651,0.151,1
0.681,0.153,1
0.772,0.143,1
0.777,0.177,1
0.838,0.151,1
0.842,0.151,1
0.928,0.114,1
0.951,0.111,1
0.999,0.082,1
0.998,0.087,1
0.941,0.157,1
0.661,0.133,1
0.661,0.136,1
0.668,0.134,1
0.668,0.139,1
0.517,0.112,1
0.511,0.119,1
0.509,0.129,1
0.356,0.109,1
0.319,0.111,1
0.251,0.086,1
0.243,0.107,1
0.241,0.114,1
0.218,0.097,1
0.269,0.15,1
0.308,0.151,1
0.322,0.158,1
0.322,0.161,1
0.318,0.171,1
0.289,0.193,1
0.138,0.23,1
0.062,0.292,1
0.04,0.32,1
0.037,0.346,1
0.129,0.276,1
0.211,0.279,1
0.246,0.304,1
0.302,0.321,1
0.33,0.277,1
0.331,0.282,1
0.407,0.3,1
0.412,0.313,1
0.411,0.312,1
0.411,0.317,1
0.456,0.318,1
0.457,0.323,1
0.541,0.291,1
0.627,0.267,1
0.637,0.258,1
0.641,0.26,1
0.63,0.27,1
0.803,0.218,1
0.833,0.24,1
0.83,0.242,1
0.788,0.241,1
0.782,0.254,1
0.802,0.312,1
0.758,0.271,1
0.738,0.27,1
0.743,0.28,1
0.751,0.288,1
0.778,0.313,1
0.76,0.309,1
0.759,0.314,1
0.736,0.312,1
0.702,0.319,1
0.687,0.273,1
0.708,0.227,1
0.576,0.31,1
0.598,0.351,1
0.548,0.352,1
0.55,0.546,1
0.706,0.329,1
0.649,0.344,1
0.919,0.181,1
0.923,0.199,1
0.786,0.09,1
0.779,0.178,1
0.764,0.162,1
0.858,0.257,1
0.979,0.28,1
0.831,0.347,1
0.847,0.298,1
0.759,0.301,1
0.697,0.36,1
0.729,0.377,1
0.731,0.381,1
0.697,0.402,1
0.781,0.4,1
0.799,0.397,1
0.796,0.443,1
0.979,0.396,1
0.967,0.366,1
0.893,0.413,1
0.879,0.321,1
0.871,0.343,1
0.978,0.456,1
0.997,0.52,1
0.974,0.489,1
0.97,0.514,1
0.432,0.334,1
0.43,0.336,1
0.441,0.389,1
0.483,0.429,1
0.429,0.459,1
0.432,0.454,1
0.364,0.401,1
0.317,0.449,1
0.348,0.399,1
0.242,0.403,1
0.254,0.452,1
0.158,0.367,1
0.237,0.528,1
0.237,0.472,1
0.234,0.49,1
0.229,0.489,1
0.239,0.359,1
0.166,0.509,1
0.146,0.531,1
0.97,0.513,1
0.973,0.497,1
0.991,0.571,1
0.981,0.519,1
0.93,0.533,1
0.901,0.5,1
0.893,0.481,1
0.884,0.494,1
0.882,0.499,1
0.847,0.469,1
0.867,0.531,1
0.864,0.532,1
0.836,0.501,1
0.832,0.488,1
0.85,0.544,1
0.862,0.549,1
0.801,0.469,1
0.796,0.47,1
0.771,0.43,1
0.769,0.554,1
0.787,0.556,1
0.876,0.559,1
0.869,0.58,1
0.867,0.598,1
0.909,0.593,1
0.932,0.579,1
0.897,0.506,1
0.998,0.632,1
0.999,0.603,1
0.997,0.648,1
0.996,0.643,1
0.973,0.641,1
0.96,0.666,1
0.964,0.69,1
0.967,0.689,1
0.719,0.561,1
0.914,0.656,1
0.914,0.689,1
0.912,0.716,1
0.922,0.681,1
0.922,0.68,1
0.96,0.694,1
0.993,0.732,1
0.993,0.731,1
0.992,0.726,1
0.988,0.899,1
0.986,0.902,1
0.977,0.872,1
0.977,0.868,1
0.98,0.909,1
0.976,0.86,1
0.976,0.861,1
0.974,0.861,1
0.943,0.861,1
0.942,0.86,1
0.979,0.812,1
0.917,0.71,1
0.924,0.783,1
0.92,0.816,1
0.89,0.817,1
0.903,0.881,1
0.933,0.886,1
0.917,0.86,1
0.922,0.856,1
0.926,0.86,1
0.926,0.863,1
0.912,0.882,1
0.91,0.888,1
0.926,0.92,1
0.906,0.751,1
0.894,0.661,1
0.86,0.672,1
0.832,0.576,1
0.848,0.679,1
0.849,0.694,1
0.897,0.7,1
0.858,0.764,1
0.586,0.941,1
0.598,0.904,1
0.62,0.872,1
0.641,0.847,1
0.649,0.831,1
0.59,0.892,1
0.598,0.887,1
0.548,0.928,1
0.543,0.931,1
0.522,0.949,1
0.527,0.946,1
0.566,0.873,1
0.581,0.871,1
0.612,0.831,1
0.688,0.767,1
0.702,0.737,1
0.714,0.7,1
0.688,0.738,1
0.661,0.734,1
0.63,0.781,1
0.629,0.784,1
0.633,0.823,1
0.517,0.891,1
0.463,0.95,1
0.461,0.923,1
0.459,0.923,1
0.481,0.866,1
0.483,0.882,1
0.493,0.861,1
0.483,0.851,1
0.504,0.887,1
0.688,0.66,1
0.69,0.658,1
0.634,0.713,1
0.656,0.729,1
0.674,0.581,1
0.679,0.573,1
0.671,0.577,1
0.676,0.651,1
0.66,0.622,1
0.636,0.636,1
0.637,0.624,1
0.628,0.631,1
0.64,0.661,1
0.654,0.638,1
0.594,0.773,1
0.569,0.781,1
0.621,0.668,1
0.617,0.666,1
0.627,0.668,1
0.634,0.656,1
0.621,0.652,1
0.543,0.668,1
0.532,0.668,1
0.543,0.628,1
0.552,0.644,1
0.519,0.639,1
0.482,0.53,1
0.43,0.521,1
0.44,0.512,1
0.577,0.723,1
0.56,0.737,1
0.646,0.744,1
0.56,0.754,1
0.554,0.697,1
0.508,0.72,1
0.552,0.709,1
0.528,0.706,1
0.512,0.816,1
0.513,0.828,1
0.513,0.814,1
0.49,0.802,1
0.363,0.928,1
0.392,0.934,1
0.263,0.976,1
0.266,0.944,1
0.262,0.948,1
0.266,0.909,1
0.207,0.959,1
0.187,0.922,1
0.184,0.932,1
0.154,0.932,1
0.147,0.941,1
0.156,0.921,1
0.562,0.872,1
0.04,0.874,1
0.074,0.78,1
0.078,0.999,1
0.066,0.846,1
0.08,0.798,1
0.097,0.757,1
0.103,0.761,1
0.11,0.782,1
0.104,0.756,1
0.093,0.668,1
0.066,0.636,1
0.074,0.65,1
0.044,0.611,1
0.014,0.57,1
0.007,0.563,1
0.05,0.6,1
0.067,0.59,1
0.072,0.594,1
0.092,0.648,1
0.12,0.572,1
0.12,0.576,1
0.061,0.651,1
0.139,0.59,1
0.141,0.593,1
0.091,0.578,1
0.151,0.639,1
0.159,0.661,1
0.119,0.732,1
0.157,0.699,1
0.174,0.691,1
0.162,0.727,1
0.128,0.774,1
0.046,0.748,1
0.159,0.779,1
0.143,0.838,1
0.112,0.858,1
0.168,0.889,1
0.172,0.887,1
0.189,0.89,1
0.193,0.889,1
0.188,0.893,1
0.189,0.893,1
0.184,0.732,1
0.201,0.731,1
0.173,0.703,1
0.179,0.637,1
0.188,0.634,1
0.192,0.636,1
0.221,0.571,1
0.232,0.579,1
0.232,0.578,1
0.216,0.531,1
0.11,0.467,1
0.11,0.468,1
0.231,0.541,1
0.266,0.529,1
0.212,0.662,1
0.252,0.737,1
0.248,0.644,1
0.283,0.58,1
0.369,0.363,1
0.31,0.582,1
0.313,0.59,1
0.303,0.531,1
0.309,0.532,1
0.302,0.532,1
0.347,0.487,1
0.381,0.48,1
0.387,0.58,1
0.388,0.586,1
0.4,0.588,1
0.236,0.472,1
0.373,0.581,1
0.351,0.612,1
0.387,0.619,1
0.301,0.682,1
0.331,0.707,1
0.929,0.111,2
0.95,0.116,2
0.964,0.122,2
0.961,0.113,2
0.241,0.123,2
0.307,0.149,2
0.317,0.174,2
0.14,0.226,2
0.287,0.223,2
0.403,0.302,2
0.408,0.307,2
0.54,0.296,2
0.711,0.222,2
0.712,0.221,2
0.822,0.269,2
0.801,0.306,2
0.764,0.32,2
0.737,0.312,2
0.714,0.33,2
0.572,0.31,2
0.548,0.347,2
0.762,0.33,2
0.974,0.282,2
0.837,0.346,2
0.97,0.401,2
0.939,0.433,2
0.883,0.419,2
0.988,0.529,2
0.986,0.528,2
0.986,0.529,2
0.269,0.411,2
0.429,0.338,2
0.427,0.34,2
0.469,0.48,2
0.47,0.368,2
0.362,0.391,2
0.339,0.383,2
0.239,0.47,2
0.261,0.457,2
0.964,0.578,2
0.88,0.568,2
0.92,0.598,2
0.992,0.73,2
0.996,0.888,2
0.977,0.871,2
0.892,0.808,2
0.718,0.697,2
0.631,0.77,2
0.634,0.784,2
0.49,0.854,2
0.488,0.861,2
0.637,0.623,2
0.559,0.783,2
0.364,0.928,2
0.394,0.933,2
0.273,0.904,2
0.153,0.924,2
0.09,0.667,2
0.178,0.629,2
0.253,0.524,2
0.526,0.128,2
0.677,0.147,2
0.777,0.186,2
0.837,0.148,2
0.933,0.116,2
0.686,0.114,2
0.691,0.129,2
0.69,0.121,2
0.761,0.096,2
0.752,0.099,2
0.732,0.103,2
0.817,0.096,2
0.964,0.048,2
0.173,0.042,2
0.516,0.126,2
0.207,0.67,2
0.28,0.581,2
0.317,0.591,2
0.403,0.6,2
