"","author","title","journal","year","volume","issue","bpage","epage","type"
"29","YY Yang, JE Gehrmann","Evidence of the structural stability of short-term capital flow","Review of Economics and Statistics",1982,64,"4",584,588,"econometrics"
"30","E Schechtman","A conservative nonparametric distribution-free confidence bound for the shift in the changepoint problem","Communications in Statistics: Theory and Methods",1983,12,"21",2455,2464,"statistics"
"31","FR Forsund, L Hjalmarsson","Technical progress and structural-change in the swedish cement industry 1955-1979","Econometrica",1983,51,"5",1449,1467,"econometrics"
"32","GDA Phillips, BP Mccabe","The independence of tests for structural-change in regression-models","Economics Letters",1983,12,"3-4",283,287,"econometrics"
"33","AE Blakemore, DE Schlagenhauf","A test for structural instability in the secular growth-rate of productivity","Economics Letters",1983,13,"2-3",153,159,"econometrics"
"34","H Erlat","A note on testing for structural-change in a single equation belonging to a simultaneous system","Economics Letters",1983,13,"2-3",185,189,"econometrics"
"35","L Edler","Determination of colony-forming ability of cell-lines - Estimation of a change-point in a linear-regression","Biometrics",1984,40,"1",262,262,"statistics"
"36","HT Nguyen, GS Rogers, EA Walker","Estimation in change-point hazard rate models","Biometrika",1984,71,"2",299,304,"statistics"
"37","V Abel, R Avenhaus","Recent paper on one-sided CUSUM procedures - Comments","Communications in Statistics: Simulation and Computation",1984,13,"2",289,292,"statistics"
"38","TJ Wales","A note on likelihood ratio tests of functional form and structural-change in demand systems","Economics Letters",1984,14,"2-3",213,220,"econometrics"
"39","DA Wolfe, E Schechtman","Nonparametric statistical procedures for the changepoint problem","Journal of Statistical Planning and Inference",1984,9,"3",389,396,"statistics"
"40","DE Matthews, VT Farewell","On a singularity in the likelihood for a change-point hazard rate model","Biometrika",1985,72,"3",703,704,"statistics"
"41","JV Terza, AA Okoruwa","An algorithm for the estimation of poisson regressions involving structural-change","Communications in Statistics: Simulation and Computation",1985,14,"4",853,866,"statistics"
"42","DH Moen, LD Broemeling","The uncertainty of forecasting - Models with structural-change versus those without changing parameters","Communications in Statistics: Theory and Methods",1985,14,"9",2029,2040,"statistics"
"43","JM Lucas","Cumulative sum (CUSUM) control schemes","Communications in Statistics: Theory and Methods",1985,14,"11",2689,2704,"statistics"
"44","TM Stoker","Aggregation, structural-change, and cross-section estimation","Journal of the American Statistical Association",1985,80,"391",720,729,"statistics"
"45","DE Matthews, VT Farewell, R Pyke","Asymptotic score-statistic processes and tests for constant hazard against a change-point alternative","The Annals of Statistics",1985,13,"2",583,591,"statistics"
"46","AE Raftery, VE Akman","Bayesian-analysis of a poisson-process with a change-point","Biometrika",1986,73,"1",85,89,"statistics"
"47","KJ Worsley","Confidence-regions and tests for a change-point in a sequence of exponential family random-variables","Biometrika",1986,73,"1",91,104,"statistics"
"48","N Ebrahimi","A parametric approach to theory of competing risks when the time of death from each cause follows a change-point hazard rate model","Communications in Statistics: Theory and Methods",1986,15,"1",215,229,"statistics"
"49","YC Yao","Maximum-likelihood-estimation in hazard rate models with a change-point","Communications in Statistics: Theory and Methods",1986,15,"8",2455,2466,"statistics"
"50","LC Alwan","CUSUM quality control-multivariate approach","Communications in Statistics: Theory and Methods",1986,15,"12",3531,3543,"statistics"
"51","CB Cadsby, T Stengos","Testing for parameter stability in a regression-model with AR(1) errors","Economics Letters",1986,20,"1",29,32,"econometrics"
"52","W Ploberger, W Kramer","On studentizing a test for structural-change","Economics Letters",1986,20,"4",341,344,"econometrics"
"53","CLF Attfield, NW Duck","Distinguishing between rational-expectations and keynesian models of the business-cycle in the presence of a structural break in the money growth-process","Economics Letters",1986,22,"2-3",133,135,"econometrics"
"54","K Ohtani","Some small sample properties of tests for structural stability in a simultaneous equation","Economics Letters",1986,22,"2-3",229,232,"econometrics"
"55","VE Akman, AE Raftery","Asymptotic inference for a change-point Poisson-process","The Annals of Statistics",1986,14,"4",1583,1590,"statistics"
"56","B James, KL James","Tests for a change-point","Biometrika",1987,74,"1",71,83,"statistics"
"57","F Lombard","Rank-tests for changepoint problems","Biometrika",1987,74,"3",615,624,"statistics"
"58","W Ploberger, W Kramer","Mean adjustment and the CUSUM test for structural-change","Economics Letters",1987,25,"3",255,258,"econometrics"
"59","J Hodoshima","The class of ban estimators of a single structural equation with structural-change","Economics Letters",1987,25,"4",339,344,"econometrics"
"60","PK Bhattacharya","Maximum-likelihood-estimation of a change-point in the distribution of independent random-variables - General multiparameter case","Journal of Multivariate Analysis",1987,23,"2",183,208,"statistics"
"61","M Csorgo, L Horvath","Nonparametric-tests for the changepoint problem","Journal of Statistical Planning and Inference",1987,17,"1",1,9,"statistics"
"62","SJ Feldman, D Mcclain, K Palmer","Sources of structural-change in the United-States, 1963-78 - An input-output perspective","Review of Economics and Statistics",1987,69,"3",503,510,"econometrics"
"63","YC Yao","Approximating the distribution of the maximum-likelihood estimate of the change-point in a sequence of independent random-variables","The Annals of Statistics",1987,15,"3",1321,1328,"statistics"
"64","KJ Worsley","Exact percentage points of the likelihood-ratio test for a change-point hazard-rate model","Biometrics",1988,44,"1",259,263,"statistics"
"65","SM Scariano, TA Watkins","Nonparametric point estimators for the change-point problem","Communications in Statistics: Theory and Methods",1988,17,"11",3645,3675,"statistics"
"66","J Hodoshima","Estimation of a single structural equation with structural-change","Econometric Theory",1988,4,"1",86,96,"econometrics"
"67","BPM Mccabe","A multiple decision-theory analysis of structural stability in regression","Econometric Theory",1988,4,"3",499,508,"econometrics"
"68","W Kramer, W Ploberger, R Alt","Testing for structural-change in dynamic-models","Econometrica",1988,56,"6",1355,1369,"econometrics"
"69","H Lutkepohl","Prediction tests for structural stability","Journal of Econometrics",1988,39,"3",267,296,"econometrics"
"70","M Csorgo, L Horvath","Invariance-principles for changepoint problems","Journal of Multivariate Analysis",1988,27,"1",151,168,"statistics"
"71","BQ Miao","Inference in a model with at most one slope-change point","Journal of Multivariate Analysis",1988,27,"2",375,391,"statistics"
"72","VR Huse","Asymptotic properties for the sequential CUSUM procedure","Statistics & Probability Letters",1988,7,"1",73,80,"statistics"
"73","E Carlstein","Nonparametric change-point estimation","The Annals of Statistics",1988,16,"1",188,197,"statistics"
"74","J Praagman","Bahadur efficiency of rank-tests for the change-point problem","The Annals of Statistics",1988,16,"1",198,217,"statistics"
"75","HJ Kim, D Siegmund","The likelihood ratio test for a change-point in simple linear-regression","Biometrika",1989,76,"3",409,423,"statistics"
"76","MS Gold","The geometric approximation to the CUSUM run length distribution","Biometrika",1989,76,"4",725,733,"statistics"
"77","JA Achcar, H Bolfarine","Constant hazard against a change-point alternative - A Bayesian-approach with censored-data","Communications in Statistics: Theory and Methods",1989,18,"10",3801,3819,"statistics"
"78","J Hodoshima","Effect of nonnormality on the estimation of a single structural equation with structural-change","Econometric Theory",1989,5,"1",53,62,"econometrics"
"79","L Reichlin","Structural-change and unit-root econometrics","Economics Letters",1989,31,"3",231,233,"econometrics"
"80","H Lutkepohl","Prediction tests for structural stability of multiple time-series","Journal of Business & Economic Statistics",1989,7,"1",129,135,"econometrics"
"81","W Ploberger, W Kramer, K Kontrus","A new test for structural stability in the linear-regression model","Journal of Econometrics",1989,40,"2",307,318,"econometrics"
"82","AK Han, D Park","Testing for structural-change in panel data - Application to a study of United-States foreign-trade in manufacturing goods","Review of Economics and Statistics",1989,71,"1",135,142,"econometrics"
"83","TA Deyak, WC Sawyer, RL Sprinkle","An empirical-examination of the structural stability of disaggregated United-States import demand","Review of Economics and Statistics",1989,71,"2",337,341,"econometrics"
"84","KY Liang, SG Self, XH Liu","The cox proportional hazards model with change point - An epidemiologic application","Biometrics",1990,46,"3",783,793,"statistics"
"85","R Brookmeyer, JG Liao","Statistical modeling of the AIDS epidemic for forecasting health-care needs","Biometrics",1990,46,"4",1151,1163,"statistics"
"86","HG Muller, JL Wang","Nonparametric analysis of changes in hazard rates for censored survival-data - An alternative to change-point models","Biometrika",1990,77,"2",305,314,"statistics"
"87","R Henderson","A problem with the likelihood ratio test for a change-point hazard rate model","Biometrika",1990,77,"4",835,843,"statistics"
"88","SH Juang, DA Wolfe","Nonparametric changepoint procedures for repeated measures data","Communications in Statistics: Simulation and Computation",1990,19,"1",263,286,"statistics"
"89","DA Wolfe, YS Chen","The changepoint problem in a multinomial sequence","Communications in Statistics: Simulation and Computation",1990,19,"2",603,618,"statistics"
"90","SM Scariano, TA Watkins","Comparisons of changepoint estimators","Communications in Statistics: Simulation and Computation",1990,19,"2",619,636,"statistics"
"91","B Tornkvist","On locating and characterizing parameter variation by the MOSUMsq test statistic","Communications in Statistics: Simulation and Computation",1990,19,"4",1247,1264,"statistics"
"92","L Joseph, DB Wolfson","Estimating the change in a renewal process when the data are counts","Communications in Statistics: Simulation and Computation",1990,19,"4",1431,1441,"statistics"
"93","B Boukai","An explicit expression for the distribution of the supremum of brownian-motion with a change point","Communications in Statistics: Theory and Methods",1990,19,"1",31,40,"statistics"
"94","SG From","Nonparametric-estimation of a change point in positive shift models","Communications in Statistics: Theory and Methods",1990,19,"9",3163,3173,"statistics"
"95","W Ploberger, W Kramer","The local-power of the CUSUM and CUSUM of squares tests","Econometric Theory",1990,6,"3",335,347,"econometrics"
"96","GP Meen","The measurement of rationing and the treatment of structural-change in the uk mortgage market","Journal of Applied Econometrics",1990,5,"2",167,187,"econometrics"
"97","CG Lamoureux, WD Lastrapes","Persistence in variance, structural-change, and the GARCH model","Journal of Business & Economic Statistics",1990,8,"2",225,234,"econometrics"
"98","YC Yao","On the asymptotic-behavior of a class of nonparametric-tests for a change-point problem","Statistics & Probability Letters",1990,9,"2",173,177,"statistics"
"99","Y Ritov","Decision theoretic optimality of the CUSUM procedure","The Annals of Statistics",1990,18,"3",1464,1469,"statistics"
"100","Y Ritov","Asymptotic efficient estimation of the change point with unknown distributions","The Annals of Statistics",1990,18,"4",1829,1839,"statistics"
"101","MJ Buckley","Detecting a smooth signal - Optimality of CUSUM based procedures","Biometrika",1991,78,"2",253,262,"statistics"
"102","M Frisen, J Demare","Optimal surveillance","Biometrika",1991,78,"2",271,280,"statistics"
"103","DC Kim","A Bayesian significance test of the stationarity of regression parameters","Biometrika",1991,78,"3",667,675,"statistics"
"104","CR Loader","Inference for a hazard rate change point","Biometrika",1991,78,"4",749,757,"statistics"
"105","CW Champ, SE Rigdon","A comparison of the Markov-chain and the integral-equation approaches for evaluating the run length distribution of quality-control charts","Communications in Statistics: Simulation and Computation",1991,20,"1",191,204,"statistics"
"106","RW Amin, WC Letsinger","Improved switching rules in control procedures using variable sampling intervals","Communications in Statistics: Simulation and Computation",1991,20,"1",205,230,"statistics"
"107","SE Shamma, RW Amin, AK Shamma","A double exponentially weighted moving average control procedure with variable sampling intervals","Communications in Statistics: Simulation and Computation",1991,20,"2-3",511,528,"statistics"
"108","RW Amin, AJ Searcy","A nonparametric exponentially weighted moving average control scheme","Communications in Statistics: Simulation and Computation",1991,20,"4",1049,1072,"statistics"
"109","LA Aerne, CW Champ, SE Rigdon","Evaluation of control charts under linear trend","Communications in Statistics: Theory and Methods",1991,20,"10",3341,3349,"statistics"
"110","G Moschini","Testing for preference change in consumer demand - An indirectly separable, semiparametric model","Journal of Business & Economic Statistics",1991,9,"1",111,117,"econometrics"
"111","VK Jandhyala, IB Macneill","Tests for parameter changes at unknown times in linear-regression models","Journal of Statistical Planning and Inference",1991,27,"3",291,316,"statistics"
"112","KB Kulasekera, KML Saxena","Estimation of change point in failure rate models","Journal of Statistical Planning and Inference",1991,29,"1-2",111,124,"statistics"
"113","CW Champ, WH Woodall, HA Mohsen","A generalized quality-control procedure","Statistics & Probability Letters",1991,11,"3",211,218,"statistics"
"114","B Szyszkowicz","Changepoint problems and contiguous alternatives","Statistics & Probability Letters",1991,11,"4",299,308,"statistics"
"115","M Pollak, D Siegmund","Sequential detection of a change in a normal-mean when the initial-value is unknown","The Annals of Statistics",1991,19,"1",394,416,"statistics"
"116","L Dumbgen","The asymptotic-behavior of some nonparametric change-point estimators","The Annals of Statistics",1991,19,"3",1471,1495,"statistics"
"117","B Lausen, M Schumacher","Maximally selected rank statistics","Biometrics",1992,48,"1",73,85,"statistics"
"118","C Hirotsu, S Kuriki, AJ Hayter","Multiple comparison procedures based on the maximal component of the cumulative chi-squared statistic","Biometrika",1992,79,"2",381,392,"statistics"
"119","P Hackl, J Ledolter","A new nonparametric quality-control technique","Communications in Statistics: Simulation and Computation",1992,21,"2",423,443,"statistics"
"120","MS Saccucci, RW Amin, JM Lucas","Exponentially weighted moving average control schemes with variable sampling intervals","Communications in Statistics: Simulation and Computation",1992,21,"3",627,657,"statistics"
"121","DM Hawkins","Evaluation of average run lengths of cumulative sum charts for an arbitrary data distribution","Communications in Statistics: Simulation and Computation",1992,21,"4",1001,1020,"statistics"
"122","CW Champ","Steady-state run length analysis of a shewhart quality-control chart with supplementary runs rules","Communications in Statistics: Theory and Methods",1992,21,"3",765,777,"statistics"
"123","L Joseph, DB Wolfson","Estimation in multi-path change-point problems","Communications in Statistics: Theory and Methods",1992,21,"4",897,913,"statistics"
"124","JK Ghosh, SN Joshi","On the asymptotic-distribution of an estimate of the change point in a failure rate","Communications in Statistics: Theory and Methods",1992,21,"12",3571,3588,"statistics"
"125","DM Stasinopoulos, RA Rigby","Detecting break points in generalized linear-models","Computational Statistics & Data Analysis",1992,13,"4",461,471,"statistics"
"126","VK Jandhyala, IB Macneill","On testing for the constancy of regression-coefficients under random-walk and change-point alternatives","Econometric Theory",1992,8,"4",501,517,"econometrics"
"127","W Ploberger, W Kramer","The CUSUM test with OLS residuals","Econometrica",1992,60,"2",271,285,"econometrics"
"128","D Giles, M Scott","Some consequences of using the Chow test in the context of autocorrelated disturbances","Economics Letters",1992,38,"2",145,150,"econometrics"
"129","SJ Leybourne, BPM Mccabe","A simple test for parameter constancy in a nonlinear time-series regression-model","Economics Letters",1992,38,"2",157,162,"econometrics"
"130","R Macdonald, MP Taylor","A stable United-States money demand function, 1874-1975","Economics Letters",1992,39,"2",191,198,"econometrics"
"131","JG Simonato","Estimation of GARCH process in the presence of structural-change","Economics Letters",1992,40,"2",155,158,"econometrics"
"132","J Bullard","Time-varying parameters and nonconvergence to rational-expectations under least-squares learning","Economics Letters",1992,40,"2",159,166,"econometrics"
"133","W Kramer, P Schotman","Range vs maximum in the OLS-based version of the CUSUM test","Economics Letters",1992,40,"4",379,381,"econometrics"
"134","S Hamori","On the structural stability of preference parameters obtained from japanese financial market data","Economics Letters",1992,40,"4",459,464,"econometrics"
"135","B Raj","International evidence on persistence in output in the presence of an episodic change","Journal of Applied Econometrics",1992,7,"3",281,293,"econometrics"
"136","G Dearcangelis","Statistical-analysis and forecasting of economic structural-change","Journal of Applied Econometrics",1992,7,"4",435,436,"econometrics"
"137","E Zivot, DWK Andrews","Further evidence on the great crash, the oil-price shock, and the unit-root hypothesis","Journal of Business & Economic Statistics",1992,10,"3",251,270,"econometrics"
"138","A Banerjee, RL Lumsdaine, JH Stock","Recursive and sequential-tests of the unit-root and trend-break hypotheses - Theory and international evidence","Journal of Business & Economic Statistics",1992,10,"3",271,287,"econometrics"
"139","CSJ Chu, H White","A direct test for changing trend","Journal of Business & Economic Statistics",1992,10,"3",289,299,"econometrics"
"140","P Perron, TJ Vogelsang","Nonstationarity and level shifts with an application to purchasing power parity","Journal of Business & Economic Statistics",1992,10,"3",301,320,"econometrics"
"141","BE Hansen","Tests for parameter instability in regressions with I(1) processes","Journal of Business & Economic Statistics",1992,10,"3",321,335,"econometrics"
"142","AC Harvey, SJ Koopman","Diagnostic checking of unobserved-components time-series models","Journal of Business & Economic Statistics",1992,10,"4",377,389,"econometrics"
"143","JA Mills","Bayesian prediction tests for structural stability","Journal of Econometrics",1992,52,"3",381,388,"econometrics"
"144","J Hodoshima","Finite-sample properties of single-equation estimators under structural-change","Journal of Econometrics",1992,53,"1-3",189,209,"econometrics"
"145","K Szajowski","Optimal online detection of outside observations","Journal of Statistical Planning and Inference",1992,30,"3",413,422,"statistics"
"146","DL Hawkins","Detecting shifts in functions of multivariate location and covariance parameters","Journal of Statistical Planning and Inference",1992,33,"2",233,244,"statistics"
"147","E Carlstein, C Krishnamoorthy","Boundary estimation","Journal of the American Statistical Association",1992,87,"418",430,438,"statistics"
"148","D Assaf, M Pollak, Y Ritov","A new look at warning and action lines of surveillance schemes","Journal of the American Statistical Association",1992,87,"419",889,895,"statistics"
"149","HJ Kim","Boundary crossing probabilities by nondifferentiable processes and applications to 2-phase regression","Statistics & Probability Letters",1992,14,"2",97,102,"statistics"
"150","D Barry, JA Hartigan","Product partition models for change point problems","The Annals of Statistics",1992,20,"1",260,279,"statistics"
"151","DL Hawkins, S Kochar, C Loader","Testing exponentiality against IDMRL distributions with unknown change point","The Annals of Statistics",1992,20,"1",280,290,"statistics"
"152","HG Muller","Change-points in nonparametric regression-analysis","The Annals of Statistics",1992,20,"2",737,761,"statistics"
"153","CR Loader","A log-linear model for a Poisson-process change point","The Annals of Statistics",1992,20,"3",1391,1411,"statistics"
"154","RL Eubank, JD Hart","Commonality of CUSUM, vonneumann and smoothing-based goodness-of-fit tests","Biometrika",1993,80,"1",89,98,"statistics"
"155","CH Jun, MS Choi","Simulating the average run-length for CUSUM schemes using variance reduction techniques","Communications in Statistics: Simulation and Computation",1993,22,"3",877,887,"statistics"
"156","GS Wasserman","An efficient search algorithm for design of a CUSUM based procedure for process monitoring","Communications in Statistics: Simulation and Computation",1993,22,"3",889,909,"statistics"
"157","TS Vaughan","Variable sampling interval np process-control chart","Communications in Statistics: Theory and Methods",1993,22,"1",147,167,"statistics"
"158","HJ Kim","2-phase regression with nonhomogeneous errors","Communications in Statistics: Theory and Methods",1993,22,"3",647,657,"statistics"
"159","D Giles, O Lieberman","Bounds on the effect of heteroscedasticity on the Chow test for structural-change","Communications in Statistics: Theory and Methods",1993,22,"3",687,703,"statistics"
"160","M Zhao","Change-point problems in software and hardware reliability","Communications in Statistics: Theory and Methods",1993,22,"3",757,768,"statistics"
"161","KM Oberg, DL Snyder","One-cluster sampling designs for an autocorrelated population","Communications in Statistics: Theory and Methods",1993,22,"7",1979,1998,"statistics"
"162","A Buse, NK Dastoor","The power of 2 exact tests for structural-change in the presence of heteroskedasticity","Communications in Statistics: Theory and Methods",1993,22,"8",2239,2257,"statistics"
"163","CY Wang, CB Lee","Bayesian-analysis for a change in the intercept of simple linear-regression","Communications in Statistics: Theory and Methods",1993,22,"11",3031,3050,"statistics"
"164","DWK Andrews","Tests for parameter instability and structural-change with unknown change-point","Econometrica",1993,61,"4",821,856,"econometrics"
"165","JH Wright","The CUSUM test based on least-squares residuals in regressions with integrated variables","Economics Letters",1993,41,"4",353,358,"econometrics"
"166","DA Chapman, M Ogaki","Cotrending and the stationarity of the real interest-rate","Economics Letters",1993,42,"2-3",133,138,"econometrics"
"167","A Hecq, JP Urbain","Misspecification tests, unit roots and level shifts","Economics Letters",1993,43,"2",129,135,"econometrics"
"168","CK Min, A Zellner","Bayesian and non-Bayesian methods for combining models and forecasts with applications to forecasting international growth-rates","Journal of Econometrics",1993,56,"1-2",89,118,"econometrics"
"169","RF Engle, DF Hendry","Testing superexogeneity and invariance in regression-models","Journal of Econometrics",1993,56,"1-2",119,139,"econometrics"
"170","A Cohen, JHB Kemperman, HB Sackrowitz","Unbiased-tests for normal order restricted hypotheses","Journal of Multivariate Analysis",1993,46,"1",139,153,"statistics"
"171","WT Huang, YP Chang","Nonparametric-estimation in change-point models","Journal of Statistical Planning and Inference",1993,35,"3",335,347,"statistics"
"172","VK Jandhyala, CD Minogue","Distributions of Bayes-type change-point statistics under polynomial regression","Journal of Statistical Planning and Inference",1993,37,"3",271,290,"statistics"
"173","VK Jandhyala","A property of partial-sums of regression least-squares residuals and its applications","Journal of Statistical Planning and Inference",1993,37,"3",317,326,"statistics"
"174","D Barry, JA Hartigan","A Bayesian-analysis for change point problems","Journal of the American Statistical Association",1993,88,"421",309,319,"statistics"
"175","PT Theodossiou","Predicting shifts in the mean of a multivariate time-series process - An application in predicting business failures","Journal of the American Statistical Association",1993,88,"422",441,449,"statistics"
"176","D Barry, JA Hartigan","Choice models for predicting divisional winners in major-league baseball","Journal of the American Statistical Association",1993,88,"423",766,774,"statistics"
"177","HJ Kim, LJ Cai","Robustness of the likelihood ratio test for a change in simple linear-regression","Journal of the American Statistical Association",1993,88,"423",864,871,"statistics"
"178","G Flaig, V Steiner","Searching for the productivity slowdown - Some surprising findings from west-german manufacturing","Review of Economics and Statistics",1993,75,"1",57,65,"econometrics"
"179","AR Chowdhury","Does exchange-rate volatility depress trade-flows - Evidence from error-correction models","Review of Economics and Statistics",1993,75,"4",700,706,"econometrics"
"180","O Decambry","Asymptotic law in sequential estimation of a change point","Statistics & Probability Letters",1993,16,"5",379,390,"statistics"
"181","TS Lee","Estimating coefficients of 2-phase linear-regression model with autocorrelated errors","Statistics & Probability Letters",1993,18,"2",113,120,"statistics"
"182","SM Tang, IB Macneill","The effect of serial-correlation on tests for parameter change at unknown time","The Annals of Statistics",1993,21,"1",552,575,"statistics"
"183","DP Foster, EI George","Estimation up to a change-point","The Annals of Statistics",1993,21,"2",625,644,"statistics"
"184","MS Srivastava, YH Wu","Comparison of EWMA, CUSUM and Shiryayev-Roberts procedures for detecting a shift in the mean","The Annals of Statistics",1993,21,"2",645,670,"statistics"
"185","L Horvath","The maximum-likelihood method for testing changes in the parameters of normal observations","The Annals of Statistics",1993,21,"2",671,680,"statistics"
"186","D Assaf, M Pollak, Y Ritov, B Yakir","Detecting a change of a normal-mean by dynamic sampling with a probability bound on a false alarm","The Annals of Statistics",1993,21,"3",1155,1165,"statistics"
"187","S Wallenstein, J Naus, J Glaz","Power of the scan statistic in detecting a changed segment in a bernoulli sequence","Biometrika",1994,81,"3",595,601,"statistics"
"188","N Sugiura, RT Ogden","Testing change-points with linear trend","Communications in Statistics: Simulation and Computation",1994,23,"2",287,322,"statistics"
"189","FF Gan","An optimal-design of cumulative sum control chart based on median run-length","Communications in Statistics: Simulation and Computation",1994,23,"2",485,503,"statistics"
"190","CR Superville, BM Adams","An evaluation of forecast-based quality-control schemes","Communications in Statistics: Simulation and Computation",1994,23,"3",645,661,"statistics"
"191","IG Vlachonikolis, VGS Vasdekis","On a class of change-point models in covariance-structures for growth-curves and repeated measurements","Communications in Statistics: Theory and Methods",1994,23,"4",1087,1102,"statistics"
"192","CK Chu","Estimation of change-points in a nonparametric regression function through kernel density-estimation","Communications in Statistics: Theory and Methods",1994,23,"11",3037,3062,"statistics"
"193","XL Luo, BW Turnbull, HY Cai, LC Clark","Regression for censored survival-data with lag effects","Communications in Statistics: Theory and Methods",1994,23,"12",3417,3438,"statistics"
"194","B Boukai","Graphically based interval estimation for the change-point","Computational Statistics & Data Analysis",1994,17,"1",77,86,"statistics"
"195","JY Park, J Sung","Testing for unit roots in models with structural-change","Econometric Theory",1994,10,"5",917,936,"econometrics"
"196","DWK Andrews, W Ploberger","Optimal tests when a nuisance parameter is present only under the alternative","Econometrica",1994,62,"6",1383,1414,"econometrics"
"197","CM Kuan","A range-CUSUM test with recursive residuals","Economics Letters",1994,45,"3",309,313,"econometrics"
"198","P Ilmakunnas, H Torma","Energy crises and change of technology","Journal of Applied Econometrics",1994,9,"3",305,320,"econometrics"
"199","G Koop, MFJ Steel","A decision-theoretic analysis of the unit-root hypothesis using mixtures of elliptic models","Journal of Business & Economic Statistics",1994,12,"1",95,107,"econometrics"
"200","B Raj, DJ Slottje","The trend behavior of alternative income inequality measures in the United-States from 1947-1990 and the structural break","Journal of Business & Economic Statistics",1994,12,"4",479,487,"econometrics"
"201","CFJ Lin, T Terasvirta","Testing the constancy of regression parameters against continuous structural-change","Journal of Econometrics",1994,62,"2",211,228,"econometrics"
"202","E Gombay, L Horvath","Limit-theorems for change in linear-regression","Journal of Multivariate Analysis",1994,48,"1",43,69,"statistics"
"203","HG Muller, KS Song","Maximin estimation of multidimensional boundaries","Journal of Multivariate Analysis",1994,50,"2",265,281,"statistics"
"204","HJ Kim","Likelihood ratio and cumulative sum tests for a change-point in linear-regression","Journal of Multivariate Analysis",1994,51,"1",54,70,"statistics"
"205","D Ferger","An extension of the Csorgo-Horvath functional limit-theorem and its applications to changepoint problems","Journal of Multivariate Analysis",1994,51,"2",338,351,"statistics"
"206","D Ferger","Change-point estimators in case of small disorders","Journal of Statistical Planning and Inference",1994,40,"1",33,49,"statistics"
