"pdias","longindex","durflow","height","begflow","mycor","vegaer","vegsout","autopoll","insects","wind","lign","piq","ros","semiros","leafy","suman","winan","monocarp","polycarp","seasaes","seashiv","seasver","everalw","everparti","elaio","endozoo","epizoo","aquat","windgl","unsp"
0.27,NA,3,"2","6",NA,"0","0","3","1","0","0","0","0","1","0","1","0","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.07,0.8,4,"4","6","1","0","0","0","4","0","0","0","0","1","0","0","0","1","1","0","0","0","1","0","0","0","0","0","1","0"
4.13,0.5,1,"4","7","2","0","0","2","0","2","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0"
NA,0.166666667,4,"3","6","2","1","0","3","1","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0"
4.6,1,3,"4","4",NA,"0","1","0","3","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0"
NA,0,2,"6","5","2","0","0","0","3","0","1","0","0","0","1","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0"
254.01,0,2,"8","4","2","0","0","0","0","4","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0"
493.6,0,5,"5","5",NA,"0","0","0","4","0","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0"
77.4,0.111111111,1,"8","5",NA,"0","0","0","0","4","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0"
77.41,0.111111111,2,"8","4","2","0","0","0","0","4","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0"
NA,0.411764706,3,"2","4","2","2","0","1","3","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","1","1","0","0","0"
8.34,0.310344828,3,"5","6","1","0","0","3","2","0","0","0","0","0","1","1","1","0","0","0","1","0","0","0","0","0","1","0","0","0"
0.53,0.214285714,4,"3","5",NA,"0","1","2","3","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
1.6,0.363636364,5,"3","5","1","0","0","3","0","0","0","0","0","1","0","0","0","1","1","0","0","0","1","0","0","0","1","0","0","0"
2.45,0.2,4,"3","5","2","0","0","3","1","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0"
0.68,0.3,3,"2","3","1","2","0","0","3","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1"
256.17,0,3,"8","9","2","2","0","0","4","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0"
0.39,0.603174603,2,"3","6","2","0","0","2","0","3","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1"
0.33,0,2,"2","6","2","0","2","0","0","4","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0"
NA,NA,1,"2","5",NA,"0","0","0","3","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1"
5.84,0,2,"2","4","2","0","0","0","4","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1"
0.1,0.8125,3,"3","6","2","0","2","1","3","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0"
140,0,2,"7","5","2","0","0","0","4","0","1","1","0","0","1","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0"
0.02,0.615384615,3,"4","5",NA,"0","0","2","1","3","0","0",NA,NA,NA,"0","0","0","1","0","0","0","1","0","0","0","1","0","0","0"
0.01,0.865671642,3,"5","6",NA,"0","1","2","1","3","0","0",NA,NA,NA,"0","0","0","1","0","0","0","1","0","0","0","1","0","0","0"
0.64,0.875,4,"4","7",NA,"0","0","3","1","0","0","1","0","1","0","1","0","1","0","0","0","0","0","1","0","0","0","0","1","0"
1.04,0.928571429,3,"3","7","2","0","0","3","1","0","0","0","0","1","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","1"
NA,NA,3,"5","3",NA,"0","0","0","3","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0"
0.38,0.522727273,4,"3","6","2","0","0","1","3","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1"
179.39,0,2,"6","6","2","0","0","2","3","0","1","0","0","0","1","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0"
NA,NA,4,"3","5",NA,"0","2","0","3","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0",NA,NA,NA,NA,NA,NA
NA,0,4,"6","6","2","0","0","1","3","0","1","0","0","0","1","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0"
NA,0.5,2,"1","4",NA,"0","0","0","2","3","0","0","0","1","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0"
NA,NA,2,"6","5","2","0","0","0","3","0","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0"
1.99,0.741935484,7,"2","5","2","0","0","3","2","0","0","0","0","0","1","1","1","0","1","0","0","0","1","0","0","0","0","0","0","1"
NA,NA,2,"3","7",NA,"0","0","2","3","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1"
NA,0,3,"3","5",NA,"0","0","3","3","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0"
3.73,0,2,"4","5","0","0","1","0","0","3","0","0","0","0","1","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0"
2.5,0.769230769,6,"2","5",NA,"0","0","0","0","4","0","0",NA,NA,NA,"1","1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.08,0.25,2,"3","5","1","0","0","2","0","3","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1"
0.81,0.470588235,3,"4","6","2","0","0","0","0","4","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1"
0.11,0.866666667,3,"2","5","0","0","0","0","4","0","0","0","0","1","0","1","1","0","0","1","0","0","0","0","0","0","0","0","1","0"
0.26,0.78125,5,"2","6","2","0","0","3","0","3","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0"
0.3,0.888888889,12,"2","3","2","0","0","3","0","1","0","0","0","1","0","1","1","0","1","0","0","0","0","1","0","0","0","0","0","1"
0.2,0.2,3,"4","6","1","0","0","0","0","3","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1"
0.3,0.584615385,3,"2","5","1","0","1","2","0","3","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1"
0.17,0.823529412,1,"2","6","1","1","0","0","0","3","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1"
NA,0.8125,5,"4","7","1","0","0","3","2","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
NA,NA,3,"3","9","0","0","2","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0"
527.4,0,2,"3","5",NA,"0","2","1","3","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0"
NA,0,2,"8","2","2","0","2","0","0","4","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0"
0.28,0.444444444,4,"2","6","2","2","0","0","3","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1"
0.58,0.666666667,4,"1","2","2","2","0","1","3","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1"
1.22,1,2,"2","3","2","0","0","0","4","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0"
NA,0,2,"8","4","2","0","0","1","3","0","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0"
NA,NA,3,"7","3",NA,NA,NA,"0","3","0","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0"
NA,NA,2,"7","5",NA,"0","0","0","3","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0"
1684.3,0,3,"6","3","1","0","2","1","3","0","1","1","0","0","1","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0"
NA,NA,3,"5","8","2","0","2","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0"
NA,NA,2,"8","4",NA,"0","0","0","4","0","1","1","0","0","1","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0"
NA,NA,2,"8","5",NA,NA,NA,"0","0","3","1","1","0","0","1","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0"
1.74,0.393939394,5,"2","5","2","1","0","0","4","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0"
1.82,0.723684211,3,"2","5","2","2","0","1","3","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","1","1","0","0"
NA,1,3,"8","5",NA,"0","2","0","3","0","1","1","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1"
1.275,NA,2,"5","6",NA,"0","0","1","3","0","1","1","0","0","1","0","0","0","1",NA,NA,NA,NA,NA,"0","1","0","0","0","0"
NA,0,3,"5","5","2","0","0","3","3","0","1","1","0","0","1","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0"
NA,0,5,"4","6","2","2","0","3","3","0","1","1","0","0","1","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0"
NA,0.444444444,4,"6","6","2","0","2","1","3","0","1","1","0","0","1","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0"
NA,NA,2,"5","6",NA,"0","1","0","3","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0"
1.5,0.480769231,2,"2","5","0","0","1","0","0","4","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0"
1.42,0.5,2,"4","5","0","0","0","2","0","2","0","0","0","1","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","0"
2.93,0.764705882,3,"3","6","1","0","0","0","0","4","0","0","0","1","0","1","1","0","1","0","0","0","1","0","0","0","0","0","0","1"
1.42,0.75,3,"4","6",NA,"0","0","0","0","4","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1"
NA,0,4,"4","1",NA,"0","1","0","3","0","1","1","0","0","1","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0"
89.23,0.5,2,"7","6","1","0","0","2","1","0","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0"
0.09,0.9,4,"3","6","1","0","2","0","3","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0"
NA,0.5,4,"4","6","2","0","1","0","3","0","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0"
0.4,0.789473684,6,"4","6","2","0","0","3","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","1","0","0","0","0","1","0"
NA,NA,2,"8","5",NA,"0","0","1","3","0","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0"
400,NA,2,"8","5",NA,"0","0","0","3","0","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0"
1.55,0.4,3,"3","6","2","0","2","1","3","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0"
3.11,0,3,"3","4","0","2","0","1","3","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1"
0.48,0.802631579,12,"2","3","0","0","0","3","3","0","0","0","0","0","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","1"
NA,NA,2,"5","7",NA,"0","1","1","3","0","1","0","0","0","1","0","0","0","1",NA,NA,NA,NA,NA,"0","1","0","0","0","0"
NA,0,3,"5","5","2","0","1","0","3","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0"
0.61,0.472222222,8,"3","3","2","0","0","0","3","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0"
NA,NA,2,"8","3","2","1","1","0","0","3","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0"
0.76,0.5,3,"3","7","2","1","2","1","3","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1"
NA,0.6,7,"1","6","2","2","0","0","4","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0"
5.9,NA,4,"5","7",NA,"0","0","0","3","0","1","1","0","0","1","0","0","0","1","0","0","0","1","0","1","0","0","0","0","1"
9,0,2,"8","2","2","0","1","0","1","3","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0"
0.19,0.795918367,5,"5","6","0","0","2","0","1","3","0","1","0","0","1","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0"
0.22,0.4,3,"2","4","1","0","2","2","3","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1"
39.44,0.45,3,"5","5","2","0","0","3","1","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1"
21.4,0.111111111,4,"4","5","2","0","2","2","3","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1"
NA,NA,2,"2","3",NA,"2","0","0","4","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0",NA,NA,NA,NA,NA,NA
3,0.333333333,2,"2","4","2","0","0","2","3","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0"
4,0.5,2,"1","4",NA,"0","0","2","3","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0"
