"child","parent","frequency","gp","par","chl"
70.5,71.5,8,"fs","Father","Son"
70.5,72.5,5,"fs","Father","Son"
70.5,73.5,1,"fs","Father","Son"
70.5,74.5,1,"fs","Father","Son"
71.5,63.5,0.25,"fs","Father","Son"
71.5,64.5,3,"fs","Father","Son"
71.5,65.5,1.25,"fs","Father","Son"
71.5,66.5,7,"fs","Father","Son"
71.5,67.5,7.75,"fs","Father","Son"
71.5,68.5,10.75,"fs","Father","Son"
71.5,69.5,11.25,"fs","Father","Son"
71.5,70.5,10,"fs","Father","Son"
71.5,71.5,8.5,"fs","Father","Son"
71.5,72.5,2.75,"fs","Father","Son"
71.5,73.5,0.5,"fs","Father","Son"
72.5,64.5,0.75,"fs","Father","Son"
72.5,65.5,0.75,"fs","Father","Son"
72.5,66.5,2.5,"fs","Father","Son"
72.5,67.5,7.5,"fs","Father","Son"
72.5,68.5,6.5,"fs","Father","Son"
72.5,69.5,6,"fs","Father","Son"
72.5,70.5,7.5,"fs","Father","Son"
72.5,71.5,6.25,"fs","Father","Son"
72.5,72.5,3.25,"fs","Father","Son"
72.5,73.5,0.5,"fs","Father","Son"
72.5,74.5,0.5,"fs","Father","Son"
73.5,62.5,1,"fs","Father","Son"
73.5,64.5,1.5,"fs","Father","Son"
73.5,65.5,1.5,"fs","Father","Son"
73.5,67.5,5.25,"fs","Father","Son"
73.5,68.5,2.25,"fs","Father","Son"
73.5,69.5,2.5,"fs","Father","Son"
73.5,70.5,6.5,"fs","Father","Son"
73.5,71.5,3.25,"fs","Father","Son"
73.5,72.5,3.25,"fs","Father","Son"
73.5,74.5,2,"fs","Father","Son"
74.5,67.5,1,"fs","Father","Son"
74.5,68.5,2,"fs","Father","Son"
74.5,70.5,2.5,"fs","Father","Son"
74.5,71.5,0.75,"fs","Father","Son"
74.5,72.5,1.75,"fs","Father","Son"
74.5,73.5,0.5,"fs","Father","Son"
75.5,67.5,1.25,"fs","Father","Son"
75.5,68.5,0.25,"fs","Father","Son"
75.5,70.5,0.5,"fs","Father","Son"
75.5,71.5,1,"fs","Father","Son"
75.5,72.5,1,"fs","Father","Son"
76.5,67.5,1.25,"fs","Father","Son"
76.5,68.5,0.25,"fs","Father","Son"
76.5,69.5,1,"fs","Father","Son"
76.5,72.5,1.5,"fs","Father","Son"
77.5,68.5,1,"fs","Father","Son"
77.5,69.5,1,"fs","Father","Son"
77.5,71.5,0.25,"fs","Father","Son"
77.5,72.5,0.75,"fs","Father","Son"
78.5,71.5,0.25,"fs","Father","Son"
78.5,72.5,0.25,"fs","Father","Son"
52.5,59.5,0.5,"md","Mother","Daughter"
53.5,59.5,0.5,"md","Mother","Daughter"
55.5,59.5,1,"md","Mother","Daughter"
56.5,58.5,1,"md","Mother","Daughter"
56.5,59.5,0.25,"md","Mother","Daughter"
56.5,60.5,1.5,"md","Mother","Daughter"
56.5,61.5,1.25,"md","Mother","Daughter"
56.5,62.5,0.25,"md","Mother","Daughter"
56.5,63.5,0.25,"md","Mother","Daughter"
57.5,55.5,1.5,"md","Mother","Daughter"
57.5,56.5,1.25,"md","Mother","Daughter"
57.5,57.5,1.5,"md","Mother","Daughter"
57.5,58.5,1.25,"md","Mother","Daughter"
57.5,59.5,1.5,"md","Mother","Daughter"
57.5,60.5,3.25,"md","Mother","Daughter"
57.5,61.5,1.25,"md","Mother","Daughter"
57.5,62.5,1.25,"md","Mother","Daughter"
57.5,63.5,0.75,"md","Mother","Daughter"
57.5,64.5,1,"md","Mother","Daughter"
58.5,55.5,0.5,"md","Mother","Daughter"
58.5,56.5,2.25,"md","Mother","Daughter"
58.5,57.5,1.5,"md","Mother","Daughter"
58.5,58.5,2.25,"md","Mother","Daughter"
58.5,59.5,4.75,"md","Mother","Daughter"
58.5,60.5,2.5,"md","Mother","Daughter"
58.5,61.5,0.25,"md","Mother","Daughter"
58.5,62.5,0.5,"md","Mother","Daughter"
58.5,65.5,0.25,"md","Mother","Daughter"
58.5,66.5,0.75,"md","Mother","Daughter"
59.5,57.5,3.5,"md","Mother","Daughter"
59.5,58.5,5.75,"md","Mother","Daughter"
59.5,59.5,12,"md","Mother","Daughter"
59.5,60.5,11.25,"md","Mother","Daughter"
59.5,61.5,9.25,"md","Mother","Daughter"
59.5,62.5,3,"md","Mother","Daughter"
59.5,63.5,1.5,"md","Mother","Daughter"
59.5,64.5,0.75,"md","Mother","Daughter"
59.5,65.5,0.25,"md","Mother","Daughter"
59.5,66.5,1.25,"md","Mother","Daughter"
60.5,52.5,0.25,"md","Mother","Daughter"
60.5,53.5,0.25,"md","Mother","Daughter"
60.5,56.5,2.75,"md","Mother","Daughter"
60.5,57.5,4.75,"md","Mother","Daughter"
60.5,58.5,9.25,"md","Mother","Daughter"
60.5,59.5,15,"md","Mother","Daughter"
60.5,60.5,19.5,"md","Mother","Daughter"
60.5,61.5,15.75,"md","Mother","Daughter"
60.5,62.5,17,"md","Mother","Daughter"
60.5,63.5,7.75,"md","Mother","Daughter"
60.5,64.5,3.25,"md","Mother","Daughter"
60.5,65.5,1.75,"md","Mother","Daughter"
60.5,66.5,1.5,"md","Mother","Daughter"
60.5,67.5,0.25,"md","Mother","Daughter"
60.5,68.5,1,"md","Mother","Daughter"
61.5,52.5,0.25,"md","Mother","Daughter"
61.5,53.5,0.25,"md","Mother","Daughter"
61.5,54.5,0.25,"md","Mother","Daughter"
61.5,55.5,0.25,"md","Mother","Daughter"
61.5,56.5,0.75,"md","Mother","Daughter"
61.5,57.5,2,"md","Mother","Daughter"
61.5,58.5,8,"md","Mother","Daughter"
61.5,59.5,18.5,"md","Mother","Daughter"
61.5,60.5,18.25,"md","Mother","Daughter"
61.5,61.5,34,"md","Mother","Daughter"
61.5,62.5,27.25,"md","Mother","Daughter"
61.5,63.5,15,"md","Mother","Daughter"
61.5,64.5,8.75,"md","Mother","Daughter"
61.5,65.5,6,"md","Mother","Daughter"
61.5,66.5,3.25,"md","Mother","Daughter"
61.5,67.5,0.25,"md","Mother","Daughter"
62.5,52.5,0.5,"md","Mother","Daughter"
62.5,54.5,0.25,"md","Mother","Daughter"
62.5,55.5,0.25,"md","Mother","Daughter"
62.5,56.5,0.25,"md","Mother","Daughter"
62.5,57.5,4,"md","Mother","Daughter"
62.5,58.5,11.5,"md","Mother","Daughter"
62.5,59.5,19.75,"md","Mother","Daughter"
62.5,60.5,33.25,"md","Mother","Daughter"
62.5,61.5,34.75,"md","Mother","Daughter"
62.5,62.5,34.75,"md","Mother","Daughter"
62.5,63.5,24,"md","Mother","Daughter"
62.5,64.5,12.75,"md","Mother","Daughter"
62.5,65.5,10.25,"md","Mother","Daughter"
62.5,66.5,2.75,"md","Mother","Daughter"
62.5,67.5,1,"md","Mother","Daughter"
62.5,68.5,0.5,"md","Mother","Daughter"
63.5,52.5,0.5,"md","Mother","Daughter"
63.5,56.5,0.75,"md","Mother","Daughter"
63.5,57.5,3.75,"md","Mother","Daughter"
63.5,58.5,6.25,"md","Mother","Daughter"
63.5,59.5,17.5,"md","Mother","Daughter"
63.5,60.5,29,"md","Mother","Daughter"
63.5,61.5,41.5,"md","Mother","Daughter"
63.5,62.5,46.5,"md","Mother","Daughter"
63.5,63.5,33.5,"md","Mother","Daughter"
63.5,64.5,18.25,"md","Mother","Daughter"
63.5,65.5,10.25,"md","Mother","Daughter"
63.5,66.5,3.75,"md","Mother","Daughter"
63.5,67.5,0.5,"md","Mother","Daughter"
63.5,68.5,0.5,"md","Mother","Daughter"
64.5,57.5,2.5,"md","Mother","Daughter"
64.5,58.5,4,"md","Mother","Daughter"
64.5,59.5,6.25,"md","Mother","Daughter"
64.5,60.5,23.75,"md","Mother","Daughter"
64.5,61.5,32,"md","Mother","Daughter"
64.5,62.5,38.5,"md","Mother","Daughter"
64.5,63.5,40,"md","Mother","Daughter"
64.5,64.5,27.75,"md","Mother","Daughter"
64.5,65.5,18.75,"md","Mother","Daughter"
64.5,66.5,3.5,"md","Mother","Daughter"
64.5,67.5,1.5,"md","Mother","Daughter"
64.5,68.5,0.5,"md","Mother","Daughter"
65.5,57.5,0.25,"md","Mother","Daughter"
65.5,58.5,1,"md","Mother","Daughter"
65.5,59.5,5.75,"md","Mother","Daughter"
65.5,60.5,10.5,"md","Mother","Daughter"
65.5,61.5,18,"md","Mother","Daughter"
65.5,62.5,27.5,"md","Mother","Daughter"
65.5,63.5,35,"md","Mother","Daughter"
65.5,64.5,26,"md","Mother","Daughter"
65.5,65.5,16.5,"md","Mother","Daughter"
65.5,66.5,12.25,"md","Mother","Daughter"
65.5,67.5,3.25,"md","Mother","Daughter"
65.5,70.5,0.5,"md","Mother","Daughter"
66.5,57.5,0.25,"md","Mother","Daughter"
66.5,58.5,1.25,"md","Mother","Daughter"
66.5,59.5,3.25,"md","Mother","Daughter"
66.5,60.5,10.25,"md","Mother","Daughter"
66.5,61.5,14.75,"md","Mother","Daughter"
66.5,62.5,23,"md","Mother","Daughter"
66.5,63.5,29.25,"md","Mother","Daughter"
66.5,64.5,21.75,"md","Mother","Daughter"
66.5,65.5,16.25,"md","Mother","Daughter"
66.5,66.5,15.75,"md","Mother","Daughter"
66.5,67.5,2.75,"md","Mother","Daughter"
66.5,68.5,2,"md","Mother","Daughter"
66.5,69.5,0.5,"md","Mother","Daughter"
66.5,70.5,0.5,"md","Mother","Daughter"
67.5,59.5,1.5,"md","Mother","Daughter"
67.5,60.5,5.5,"md","Mother","Daughter"
67.5,61.5,7.75,"md","Mother","Daughter"
67.5,62.5,7.75,"md","Mother","Daughter"
67.5,63.5,15,"md","Mother","Daughter"
67.5,64.5,14.25,"md","Mother","Daughter"
67.5,65.5,11.25,"md","Mother","Daughter"
67.5,66.5,8.25,"md","Mother","Daughter"
67.5,67.5,5,"md","Mother","Daughter"
67.5,68.5,1.25,"md","Mother","Daughter"
67.5,69.5,0.5,"md","Mother","Daughter"
67.5,70.5,1,"md","Mother","Daughter"
68.5,59.5,0.5,"md","Mother","Daughter"
68.5,61.5,5.75,"md","Mother","Daughter"
68.5,62.5,5.75,"md","Mother","Daughter"
68.5,63.5,6.5,"md","Mother","Daughter"
68.5,64.5,6.5,"md","Mother","Daughter"
68.5,65.5,5.75,"md","Mother","Daughter"
68.5,66.5,3.25,"md","Mother","Daughter"
68.5,67.5,4.75,"md","Mother","Daughter"
68.5,68.5,1.25,"md","Mother","Daughter"
68.5,69.5,1,"md","Mother","Daughter"
69.5,62.5,1,"md","Mother","Daughter"
69.5,63.5,2.5,"md","Mother","Daughter"
69.5,64.5,5.25,"md","Mother","Daughter"
69.5,65.5,3.25,"md","Mother","Daughter"
69.5,66.5,3.25,"md","Mother","Daughter"
69.5,67.5,0.75,"md","Mother","Daughter"
69.5,68.5,1,"md","Mother","Daughter"
69.5,69.5,1,"md","Mother","Daughter"
69.5,70.5,0.5,"md","Mother","Daughter"
70.5,62.5,1,"md","Mother","Daughter"
70.5,63.5,1,"md","Mother","Daughter"
70.5,64.5,1,"md","Mother","Daughter"
70.5,65.5,0.25,"md","Mother","Daughter"
70.5,66.5,1.25,"md","Mother","Daughter"
70.5,67.5,2,"md","Mother","Daughter"
70.5,68.5,1,"md","Mother","Daughter"
70.5,69.5,1.5,"md","Mother","Daughter"
70.5,70.5,0.5,"md","Mother","Daughter"
71.5,63.5,0.5,"md","Mother","Daughter"
71.5,65.5,0.75,"md","Mother","Daughter"
71.5,66.5,0.75,"md","Mother","Daughter"
71.5,67.5,0.5,"md","Mother","Daughter"
71.5,69.5,0.5,"md","Mother","Daughter"
71.5,70.5,1,"md","Mother","Daughter"
73.5,63.5,1,"md","Mother","Daughter"
59.5,59.5,0.25,"ms","Mother","Son"
59.5,60.5,0.25,"ms","Mother","Son"
59.5,61.5,0.25,"ms","Mother","Son"
59.5,62.5,0.25,"ms","Mother","Son"
60.5,59.5,0.75,"ms","Mother","Son"
60.5,60.5,0.25,"ms","Mother","Son"
60.5,61.5,0.25,"ms","Mother","Son"
60.5,62.5,0.25,"ms","Mother","Son"
61.5,58.5,1,"ms","Mother","Son"
61.5,59.5,0.5,"ms","Mother","Son"
62.5,59.5,3.5,"ms","Mother","Son"
62.5,60.5,1.5,"ms","Mother","Son"
62.5,61.5,2,"ms","Mother","Son"
62.5,62.5,0.5,"ms","Mother","Son"
62.5,65.5,0.5,"ms","Mother","Son"
63.5,52.5,0.5,"ms","Mother","Son"
63.5,53.5,0.5,"ms","Mother","Son"
63.5,56.5,0.25,"ms","Mother","Son"
63.5,57.5,1.25,"ms","Mother","Son"
63.5,58.5,2.5,"ms","Mother","Son"
63.5,59.5,6.75,"ms","Mother","Son"
63.5,60.5,9,"ms","Mother","Son"
63.5,61.5,5,"ms","Mother","Son"
63.5,62.5,3.75,"ms","Mother","Son"
63.5,65.5,0.5,"ms","Mother","Son"
64.5,54.5,0.25,"ms","Mother","Son"
64.5,55.5,0.25,"ms","Mother","Son"
64.5,56.5,1,"ms","Mother","Son"
64.5,57.5,3.25,"ms","Mother","Son"
64.5,58.5,5.75,"ms","Mother","Son"
64.5,59.5,13,"ms","Mother","Son"
64.5,60.5,7.75,"ms","Mother","Son"
64.5,61.5,7,"ms","Mother","Son"
64.5,62.5,6.75,"ms","Mother","Son"
64.5,63.5,1.25,"ms","Mother","Son"
64.5,64.5,1.75,"ms","Mother","Son"
64.5,66.5,1,"ms","Mother","Son"
65.5,54.5,0.5,"ms","Mother","Son"
65.5,55.5,1,"ms","Mother","Son"
65.5,56.5,3.75,"ms","Mother","Son"
65.5,57.5,5.5,"ms","Mother","Son"
65.5,58.5,4.5,"ms","Mother","Son"
65.5,59.5,9,"ms","Mother","Son"
65.5,60.5,14.25,"ms","Mother","Son"
65.5,61.5,18.25,"ms","Mother","Son"
65.5,62.5,7.25,"ms","Mother","Son"
65.5,63.5,6.75,"ms","Mother","Son"
65.5,64.5,1.75,"ms","Mother","Son"
65.5,66.5,1.25,"ms","Mother","Son"
65.5,67.5,0.25,"ms","Mother","Son"
66.5,54.5,0.25,"ms","Mother","Son"
66.5,55.5,0.75,"ms","Mother","Son"
66.5,56.5,1.75,"ms","Mother","Son"
66.5,57.5,2.75,"ms","Mother","Son"
66.5,58.5,8.5,"ms","Mother","Son"
66.5,59.5,15,"ms","Mother","Son"
66.5,60.5,19.5,"ms","Mother","Son"
66.5,61.5,20,"ms","Mother","Son"
66.5,62.5,22.25,"ms","Mother","Son"
66.5,63.5,10,"ms","Mother","Son"
66.5,64.5,7.75,"ms","Mother","Son"
66.5,65.5,2,"ms","Mother","Son"
66.5,66.5,2.75,"ms","Mother","Son"
66.5,67.5,0.75,"ms","Mother","Son"
66.5,68.5,0.5,"ms","Mother","Son"
67.5,56.5,0.25,"ms","Mother","Son"
67.5,57.5,4.25,"ms","Mother","Son"
67.5,58.5,5,"ms","Mother","Son"
67.5,59.5,11.25,"ms","Mother","Son"
67.5,60.5,27.25,"ms","Mother","Son"
67.5,61.5,31,"ms","Mother","Son"
67.5,62.5,36,"ms","Mother","Son"
67.5,63.5,27,"ms","Mother","Son"
67.5,64.5,12.75,"ms","Mother","Son"
67.5,65.5,4,"ms","Mother","Son"
67.5,66.5,2.25,"ms","Mother","Son"
67.5,67.5,1.5,"ms","Mother","Son"
67.5,68.5,0.5,"ms","Mother","Son"
68.5,58.5,6.75,"ms","Mother","Son"
68.5,59.5,12.25,"ms","Mother","Son"
68.5,60.5,27.5,"ms","Mother","Son"
68.5,61.5,27.25,"ms","Mother","Son"
68.5,62.5,31.5,"ms","Mother","Son"
68.5,63.5,26.75,"ms","Mother","Son"
68.5,64.5,23.25,"ms","Mother","Son"
68.5,65.5,12.75,"ms","Mother","Son"
68.5,66.5,5,"ms","Mother","Son"
68.5,67.5,1.75,"ms","Mother","Son"
68.5,68.5,0.75,"ms","Mother","Son"
69.5,57.5,2,"ms","Mother","Son"
69.5,59.5,6,"ms","Mother","Son"
69.5,60.5,15.25,"ms","Mother","Son"
69.5,61.5,17,"ms","Mother","Son"
69.5,62.5,23.25,"ms","Mother","Son"
69.5,63.5,20.5,"ms","Mother","Son"
69.5,64.5,20,"ms","Mother","Son"
69.5,65.5,13.25,"ms","Mother","Son"
69.5,66.5,4.5,"ms","Mother","Son"
69.5,67.5,1,"ms","Mother","Son"
69.5,68.5,0.75,"ms","Mother","Son"
69.5,69.5,0.5,"ms","Mother","Son"
70.5,57.5,1,"ms","Mother","Son"
70.5,58.5,0.5,"ms","Mother","Son"
70.5,59.5,2.75,"ms","Mother","Son"
70.5,60.5,9.5,"ms","Mother","Son"
70.5,61.5,22,"ms","Mother","Son"
70.5,62.5,21.5,"ms","Mother","Son"
70.5,63.5,23.5,"ms","Mother","Son"
70.5,64.5,15.75,"ms","Mother","Son"
70.5,65.5,14.25,"ms","Mother","Son"
70.5,66.5,7.5,"ms","Mother","Son"
70.5,67.5,2.75,"ms","Mother","Son"
70.5,68.5,0.5,"ms","Mother","Son"
70.5,69.5,0.5,"ms","Mother","Son"
71.5,58.5,0.5,"ms","Mother","Son"
71.5,59.5,1,"ms","Mother","Son"
71.5,60.5,2.75,"ms","Mother","Son"
71.5,61.5,10.25,"ms","Mother","Son"
71.5,62.5,13.5,"ms","Mother","Son"
71.5,63.5,16,"ms","Mother","Son"
71.5,64.5,13.25,"ms","Mother","Son"
71.5,65.5,12.75,"ms","Mother","Son"
71.5,66.5,6,"ms","Mother","Son"
71.5,67.5,1,"ms","Mother","Son"
71.5,68.5,1,"ms","Mother","Son"
72.5,58.5,0.5,"ms","Mother","Son"
72.5,59.5,1,"ms","Mother","Son"
72.5,60.5,5,"ms","Mother","Son"
72.5,61.5,4.25,"ms","Mother","Son"
72.5,62.5,6,"ms","Mother","Son"
72.5,63.5,11,"ms","Mother","Son"
72.5,64.5,7.5,"ms","Mother","Son"
72.5,65.5,4,"ms","Mother","Son"
72.5,66.5,4.75,"ms","Mother","Son"
72.5,67.5,2.5,"ms","Mother","Son"
72.5,68.5,1,"ms","Mother","Son"
73.5,60.5,1.25,"ms","Mother","Son"
73.5,61.5,4,"ms","Mother","Son"
73.5,62.5,6.75,"ms","Mother","Son"
73.5,63.5,6.25,"ms","Mother","Son"
73.5,64.5,3.75,"ms","Mother","Son"
73.5,65.5,7,"ms","Mother","Son"
73.5,66.5,1.5,"ms","Mother","Son"
73.5,67.5,1.75,"ms","Mother","Son"
73.5,68.5,1.25,"ms","Mother","Son"
73.5,69.5,1.5,"ms","Mother","Son"
73.5,70.5,1,"ms","Mother","Son"
74.5,61.5,2.5,"ms","Mother","Son"
74.5,62.5,2.5,"ms","Mother","Son"
74.5,63.5,2.5,"ms","Mother","Son"
74.5,64.5,1,"ms","Mother","Son"
74.5,65.5,3,"ms","Mother","Son"
74.5,66.5,2,"ms","Mother","Son"
74.5,67.5,0.75,"ms","Mother","Son"
74.5,68.5,1.25,"ms","Mother","Son"
74.5,69.5,1.5,"ms","Mother","Son"
75.5,61.5,0.5,"ms","Mother","Son"
75.5,63.5,0.5,"ms","Mother","Son"
75.5,65.5,1,"ms","Mother","Son"
75.5,66.5,1.5,"ms","Mother","Son"
75.5,67.5,1,"ms","Mother","Son"
75.5,68.5,1.5,"ms","Mother","Son"
75.5,70.5,0.5,"ms","Mother","Son"
76.5,63.5,1,"ms","Mother","Son"
76.5,65.5,1,"ms","Mother","Son"
76.5,66.5,0.75,"ms","Mother","Son"
76.5,67.5,0.25,"ms","Mother","Son"
76.5,70.5,0.5,"ms","Mother","Son"
77.5,61.5,0.5,"ms","Mother","Son"
77.5,66.5,0.25,"ms","Mother","Son"
77.5,67.5,0.75,"ms","Mother","Son"
78.5,61.5,0.5,"ms","Mother","Son"
78.5,65.5,0.5,"ms","Mother","Son"
78.5,66.5,0.5,"ms","Mother","Son"
78.5,67.6,0.5,"ms","Mother","Son"
79.5,67.5,1,"ms","Mother","Son"
52.5,62.5,0.25,"fd","Father","Daughter"
52.5,63.5,0.25,"fd","Father","Daughter"
53.5,62.5,0.25,"fd","Father","Daughter"
53.5,63.5,0.25,"fd","Father","Daughter"
55.5,65.5,1,"fd","Father","Daughter"
56.5,58.5,0.25,"fd","Father","Daughter"
56.5,59.5,0.25,"fd","Father","Daughter"
56.5,61.5,0.25,"fd","Father","Daughter"
56.5,62.5,1.25,"fd","Father","Daughter"
56.5,63.5,0.5,"fd","Father","Daughter"
56.5,65.5,1,"fd","Father","Daughter"
56.5,66.5,0.5,"fd","Father","Daughter"
56.5,67.5,0.5,"fd","Father","Daughter"
57.5,58.5,0.25,"fd","Father","Daughter"
57.5,59.5,0.25,"fd","Father","Daughter"
57.5,60.5,0.5,"fd","Father","Daughter"
57.5,61.5,1.5,"fd","Father","Daughter"
57.5,62.5,4.5,"fd","Father","Daughter"
57.5,63.5,1,"fd","Father","Daughter"
57.5,64.5,1.5,"fd","Father","Daughter"
57.5,65.5,1.5,"fd","Father","Daughter"
57.5,66.5,2.5,"fd","Father","Daughter"
57.5,68.5,0.5,"fd","Father","Daughter"
57.5,69.6,0.5,"fd","Father","Daughter"
58.5,58.5,0.25,"fd","Father","Daughter"
58.5,59.5,0.75,"fd","Father","Daughter"
58.5,60.5,0.5,"fd","Father","Daughter"
58.5,61.5,0.75,"fd","Father","Daughter"
58.5,62.5,0.75,"fd","Father","Daughter"
58.5,63.5,1,"fd","Father","Daughter"
58.5,64.5,1.75,"fd","Father","Daughter"
58.5,65.5,1.25,"fd","Father","Daughter"
58.5,66.5,5,"fd","Father","Daughter"
58.5,67.5,2.75,"fd","Father","Daughter"
58.5,68.5,0.5,"fd","Father","Daughter"
58.5,69.5,0.25,"fd","Father","Daughter"
59.5,58.5,0.5,"fd","Father","Daughter"
59.5,59.5,1,"fd","Father","Daughter"
59.5,60.5,2,"fd","Father","Daughter"
59.5,62.5,6,"fd","Father","Daughter"
59.5,63.5,4.75,"fd","Father","Daughter"
59.5,64.5,5,"fd","Father","Daughter"
59.5,65.5,6.25,"fd","Father","Daughter"
59.5,66.5,11.75,"fd","Father","Daughter"
59.5,67.5,3.5,"fd","Father","Daughter"
59.5,68.5,3.5,"fd","Father","Daughter"
59.5,69.5,2,"fd","Father","Daughter"
59.5,70.5,1.75,"fd","Father","Daughter"
59.5,71.5,0.5,"fd","Father","Daughter"
60.5,58.5,0.75,"fd","Father","Daughter"
60.5,59.5,0.75,"fd","Father","Daughter"
