"Year","month","count","mon","date"
1844,"Feb",3842,2,1844-02-01
1844,"Mar",3839,3,1844-03-01
1844,"Apr",3859,4,1844-04-01
1844,"May",3840,5,1844-05-01
1844,"Jun",3846,6,1844-06-01
1844,"Jul",3848,7,1844-07-01
1844,"Aug",3869,8,1844-08-01
1844,"Sep",3892,9,1844-09-01
1844,"Oct",3889,10,1844-10-01
1844,"Nov",3894,11,1844-11-01
1844,"Dec",3879,12,1844-12-01
1845,"Jan",3872,1,1845-01-01
1845,"Feb",3873,2,1845-02-01
1845,"Mar",3906,3,1845-03-01
1845,"Apr",3933,4,1845-04-01
1845,"May",3956,5,1845-05-01
1845,"Jun",3935,6,1845-06-01
1845,"Jul",3951,7,1845-07-01
1845,"Aug",3974,8,1845-08-01
1845,"Sep",3979,9,1845-09-01
1845,"Oct",4018,10,1845-10-01
1845,"Nov",4065,11,1845-11-01
1845,"Dec",4097,12,1845-12-01
1846,"Jan",4106,1,1846-01-01
1846,"Feb",4116,2,1846-02-01
1846,"Mar",4111,3,1846-03-01
1846,"Apr",4135,4,1846-04-01
1846,"May",4143,5,1846-05-01
1846,"Jun",4151,6,1846-06-01
1846,"Jul",4164,7,1846-07-01
1846,"Aug",4165,8,1846-08-01
1846,"Sep",4200,9,1846-09-01
1846,"Oct",4219,10,1846-10-01
1846,"Nov",4220,11,1846-11-01
1846,"Dec",4185,12,1846-12-01
1847,"Jan",4189,1,1847-01-01
1847,"Feb",4193,2,1847-02-01
1847,"Mar",4207,3,1847-03-01
1847,"Apr",4206,4,1847-04-01
1847,"May",4224,5,1847-05-01
1847,"Jun",4239,6,1847-06-01
1847,"Jul",4276,7,1847-07-01
1847,"Aug",4320,8,1847-08-01
1847,"Sep",4347,9,1847-09-01
1847,"Oct",4361,10,1847-10-01
1847,"Nov",4419,11,1847-11-01
1847,"Dec",4441,12,1847-12-01
1848,"Jan",4434,1,1848-01-01
1848,"Feb",4451,2,1848-02-01
1848,"Mar",4415,3,1848-03-01
1848,"Apr",4406,4,1848-04-01
1848,"May",4280,5,1848-05-01
1848,"Jun",4178,6,1848-06-01
1848,"Jul",4108,7,1848-07-01
1848,"Aug",4172,8,1848-08-01
1848,"Sep",4196,9,1848-09-01
1848,"Oct",4210,10,1848-10-01
1848,"Nov",4218,11,1848-11-01
1848,"Dec",4230,12,1848-12-01
1849,"Jan",4217,1,1849-01-01
1849,"Feb",4212,2,1849-02-01
1849,"Mar",4207,3,1849-03-01
1849,"Apr",4189,4,1849-04-01
1849,"May",4173,5,1849-05-01
1849,"Jun",4121,6,1849-06-01
1849,"Jul",4097,7,1849-07-01
1849,"Aug",4096,8,1849-08-01
1849,"Sep",4139,9,1849-09-01
1849,"Oct",4170,10,1849-10-01
1849,"Nov",4192,11,1849-11-01
1849,"Dec",4202,12,1849-12-01
1850,"Jan",4218,1,1850-01-01
1850,"Feb",4248,2,1850-02-01
1850,"Mar",4266,3,1850-03-01
1850,"Apr",4328,4,1850-04-01
1850,"May",4366,5,1850-05-01
1850,"Jun",4357,6,1850-06-01
1850,"Jul",4405,7,1850-07-01
1850,"Aug",4419,8,1850-08-01
1850,"Sep",4433,9,1850-09-01
1850,"Oct",4432,10,1850-10-01
1850,"Nov",4418,11,1850-11-01
1850,"Dec",4401,12,1850-12-01
1851,"Jan",4388,1,1851-01-01
1851,"Feb",4400,2,1851-02-01
1851,"Mar",4392,3,1851-03-01
1851,"Apr",4403,4,1851-04-01
1851,"May",4406,5,1851-05-01
1851,"Jun",4414,6,1851-06-01
1851,"Jul",4418,7,1851-07-01
1851,"Aug",4424,8,1851-08-01
1851,"Sep",4418,9,1851-09-01
1851,"Oct",4446,10,1851-10-01
1851,"Nov",4419,11,1851-11-01
1851,"Dec",4390,12,1851-12-01
1852,"Jan",4369,1,1852-01-01
1852,"Feb",4361,2,1852-02-01
1852,"Mar",4339,3,1852-03-01
1852,"Apr",4309,4,1852-04-01
1852,"May",4317,5,1852-05-01
1852,"Jun",4310,6,1852-06-01
1852,"Jul",4280,7,1852-07-01
1852,"Aug",4310,8,1852-08-01
1852,"Sep",4277,9,1852-09-01
1852,"Oct",4271,10,1852-10-01
1852,"Nov",4246,11,1852-11-01
1852,"Dec",4231,12,1852-12-01
1853,"Jan",4235,1,1853-01-01
1853,"Feb",4226,2,1853-02-01
1853,"Mar",4213,3,1853-03-01
1853,"Apr",4214,4,1853-04-01
1853,"May",4208,5,1853-05-01
1853,"Jun",4235,6,1853-06-01
1853,"Jul",4209,7,1853-07-01
1853,"Aug",4240,8,1853-08-01
1853,"Sep",4224,9,1853-09-01
1853,"Oct",4219,10,1853-10-01
1853,"Nov",4211,11,1853-11-01
1853,"Dec",4180,12,1853-12-01
1854,"Jan",4188,1,1854-01-01
1854,"Feb",4177,2,1854-02-01
1854,"Mar",4207,3,1854-03-01
1854,"Apr",4202,4,1854-04-01
1854,"May",4209,5,1854-05-01
1854,"Jun",4214,6,1854-06-01
1854,"Jul",4237,7,1854-07-01
1854,"Aug",4256,8,1854-08-01
1854,"Sep",4264,9,1854-09-01
1854,"Oct",4292,10,1854-10-01
1854,"Nov",4284,11,1854-11-01
1854,"Dec",4260,12,1854-12-01
