"lang","IQ","class","GS","SES","COMB"
18,10,"1880",28,35,"0"
31,10.5,"1880",28,50,"0"
21,11.5,"1880",28,35,"0"
41,11,"1880",28,35,"0"
48,14.5,"2180",19,20,"0"
43,13,"2180",19,18,"0"
32,8.5,"2180",19,18,"0"
17,11.5,"2180",19,20,"0"
27,8.5,"2180",19,20,"0"
55,13,"2180",19,28,"0"
45,12.5,"2180",19,28,"0"
36,13.5,"2180",19,18,"0"
24,8,"2180",19,18,"0"
35,9,"2180",19,18,"0"
43,11.5,"2180",19,23,"0"
48,13,"2180",19,23,"0"
38,14.5,"2180",19,23,"0"
44,12,"2180",19,20,"0"
47,12,"2180",19,18,"0"
36,13.5,"2180",19,23,"0"
41,11.5,"2180",19,25,"0"
41,12,"2480",35,23,"0"
26,10,"2480",35,20,"0"
52,14,"2480",35,20,"0"
43,12.5,"2480",35,10,"0"
54,13,"2480",35,20,"0"
49,11.5,"2480",35,30,"0"
51,15.5,"2480",35,20,"0"
47,13.5,"2480",35,23,"0"
51,12,"2480",35,17,"0"
51,12,"2480",35,23,"0"
34,8.5,"2480",35,20,"0"
51,10.5,"2480",35,23,"0"
49,10,"2480",35,23,"0"
42,9,"2480",35,37,"0"
50,13,"2480",35,17,"0"
33,6.5,"2480",35,17,"0"
46,13.5,"2480",35,33,"0"
57,16.5,"2480",35,20,"0"
35,10.5,"2480",35,30,"0"
44,13.5,"2480",35,27,"0"
36,12,"2480",35,23,"0"
50,12.5,"2480",35,23,"0"
38,13,"2480",35,27,"0"
49,12,"2480",35,27,"0"
26,10.5,"2680",21,20,"0"
48,12,"2680",21,35,"0"
32,12.5,"2680",21,40,"0"
46,13,"2680",21,33,"0"
38,10,"2680",21,30,"0"
44,11,"2680",21,33,"0"
35,11,"2680",21,17,"0"
40,16.5,"2680",21,23,"0"
40,13,"2680",21,37,"0"
46,11.5,"2680",21,20,"0"
31,10,"2680",21,20,"0"
50,13.5,"2680",21,45,"0"
46,13.5,"2680",21,40,"0"
51,16.5,"2680",21,43,"0"
29,9,"2680",21,28,"0"
39,12,"2680",21,33,"0"
49,13.5,"2680",21,35,"0"
43,14,"2680",21,47,"0"
37,10,"2780",32,23,"1"
35,10.5,"2780",32,23,"1"
38,13,"2780",32,28,"1"
40,13,"2780",32,23,"1"
42,14,"2780",32,47,"1"
41,14.5,"2780",32,40,"1"
32,12,"2780",32,40,"1"
40,12.5,"2780",32,27,"1"
20,10.5,"2780",32,23,"1"
29,11,"2780",32,27,"1"
41,12.5,"2780",32,40,"1"
23,13,"2780",32,30,"1"
27,11.5,"2780",32,23,"1"
35,9.5,"2780",32,27,"1"
33,11.5,"2780",32,35,"1"
31,9.5,"2780",32,23,"1"
29,12,"2780",32,40,"1"
31,10,"2780",32,20,"1"
40,12,"2780",32,20,"1"
19,6.5,"2780",32,20,"1"
40,11,"2780",32,35,"1"
51,18,"2980",22,45,"1"
51,16,"2980",22,47,"1"
35,12,"2980",22,50,"1"
50,11.5,"2980",22,50,"1"
51,12,"2980",22,45,"1"
52,15.5,"2980",22,40,"1"
44,14,"2980",22,35,"1"
39,6,"2980",22,35,"1"
41,12.5,"2980",22,35,"1"
51,16.5,"2980",22,45,"1"
20,12,"3380",14,15,"1"
43,10,"3380",14,20,"1"
31,10,"3380",14,37,"1"
42,11,"3380",14,25,"1"
50,13,"3380",14,23,"1"
41,12,"3380",14,27,"1"
38,11,"3580",16,20,"1"
52,13,"3580",16,20,"1"
34,10.5,"3580",16,20,"1"
34,7,"3580",16,18,"1"
54,13,"3580",16,30,"1"
47,13,"3580",16,45,"1"
25,11,"3580",16,18,"1"
27,8,"3580",16,13,"1"
35,8,"3580",16,23,"1"
28,12,"3580",16,18,"1"
34,8.5,"3580",16,10,"1"
42,9.5,"3580",16,25,"1"
38,10.5,"3580",16,25,"1"
51,15.5,"3580",16,30,"1"
55,14.5,"3680",29,33,"0"
40,12,"3680",29,20,"0"
49,12,"3680",29,30,"0"
37,13,"3680",29,35,"0"
31,9.5,"3680",29,25,"0"
31,12,"3680",29,30,"0"
28,8.5,"3680",29,30,"0"
30,11,"3680",29,20,"0"
34,9.5,"3680",29,40,"0"
42,12.5,"3680",29,40,"0"
29,11,"3680",29,30,"0"
27,12,"3680",29,20,"0"
32,13,"3680",29,33,"0"
22,9.5,"3680",29,30,"0"
34,14.5,"3680",29,30,"0"
36,12.5,"3680",29,38,"0"
46,12.5,"3680",29,28,"0"
45,12.5,"3680",29,30,"0"
39,12.5,"3680",29,37,"0"
36,11,"3680",29,40,"0"
33,10.5,"3680",29,30,"0"
28,11,"3680",29,40,"0"
35,12,"3680",29,20,"0"
42,11,"3880",31,50,"0"
42,10,"3880",31,40,"0"
34,9.5,"3880",31,20,"0"
47,9.5,"3880",31,20,"0"
43,10,"3880",31,47,"0"
45,11,"3880",31,47,"0"
53,12,"3880",31,20,"0"
53,12,"3880",31,40,"0"
42,12,"3880",31,30,"0"
40,11,"3880",31,30,"0"
50,12.5,"3880",31,45,"0"
41,12.5,"3880",31,23,"0"
35,9,"3880",31,30,"0"
42,13,"3880",31,20,"0"
52,13,"3880",31,25,"0"
26,9,"3880",31,20,"0"
39,12,"3880",31,23,"0"
33,8,"3880",31,20,"0"
50,13.5,"3880",31,20,"0"
38,10,"3880",31,20,"0"
45,13.5,"3880",31,23,"0"
43,14.5,"3880",31,33,"0"
41,12,"3880",31,20,"0"
36,10.5,"3880",31,25,"0"
38,12,"3880",31,30,"0"
31,9.5,"3880",31,20,"0"
53,15.5,"3880",31,37,"0"
35,13.5,"3880",31,17,"0"
41,11.5,"4081",28,45,"0"
27,9,"4081",28,40,"0"
30,10,"4081",28,50,"0"
48,12.5,"4081",28,50,"0"
36,12,"4081",28,40,"0"
30,9.5,"4081",28,20,"0"
18,11.5,"4081",28,30,"0"
34,12.5,"4081",28,20,"0"
49,13,"4081",28,50,"0"
44,12.5,"4081",28,20,"0"
50,15.5,"4081",28,30,"0"
51,14,"4081",28,20,"0"
50,13.5,"4081",28,20,"0"
50,14,"4081",28,30,"0"
44,12,"4081",28,30,"0"
48,13,"4081",28,40,"0"
26,9.5,"4081",28,20,"0"
50,13.5,"4081",28,30,"0"
52,15,"4081",28,30,"0"
46,12.5,"4081",28,50,"0"
50,13.5,"4081",28,40,"0"
36,11,"4081",28,30,"0"
44,11,"4081",28,40,"0"
35,11.5,"4081",28,20,"0"
20,12.5,"4081",28,30,"0"
36,11,"4082",11,28,"1"
42,12.5,"4082",11,23,"1"
43,13,"4082",11,30,"1"
35,11.5,"4082",11,45,"1"
45,16.5,"4082",11,45,"1"
50,15.5,"4082",11,28,"1"
49,13.5,"4082",11,18,"1"
51,12.5,"4082",11,28,"1"
53,15,"4082",11,20,"1"
48,10,"4082",11,18,"1"
38,11.5,"4180",18,20,"0"
40,13,"4180",18,20,"0"
31,12.5,"4180",18,20,"0"
38,10.5,"4180",18,30,"0"
29,11,"4180",18,20,"0"
52,15,"4180",18,20,"0"
41,15,"4180",18,20,"0"
48,13,"4180",18,20,"0"
50,15.5,"4180",18,20,"0"
37,11.5,"4180",18,15,"0"
30,11,"4180",18,10,"0"
28,10,"4180",18,15,"0"
30,9.5,"4180",18,10,"0"
45,11.5,"4280",21,28,"1"
25,11.5,"4280",21,38,"1"
49,14.5,"4280",21,43,"1"
30,12,"4280",21,40,"1"
35,12.5,"4280",21,40,"1"
18,9.5,"4280",21,30,"1"
39,11,"4280",21,20,"1"
20,10,"4280",21,20,"1"
47,14.5,"4280",21,30,"1"
34,11,"4280",21,38,"1"
45,13,"4280",21,48,"1"
31,11.5,"4280",21,20,"1"
38,11.5,"4280",21,25,"1"
38,11.5,"4280",21,25,"1"
26,11,"4480",25,15,"1"
43,11.5,"4480",25,25,"1"
34,10.5,"4480",25,18,"1"
39,11.5,"4480",25,18,"1"
36,10.5,"4480",25,10,"1"
46,12.5,"4480",25,17,"1"
38,11,"4480",25,25,"1"
25,11,"4480",25,18,"1"
23,9.5,"4480",25,18,"1"
38,12.5,"4480",25,25,"1"
53,12.5,"4480",25,25,"1"
31,10,"4480",25,17,"1"
45,10.5,"4480",25,20,"1"
43,11.5,"4480",25,20,"1"
26,12,"4480",25,18,"1"
29,10.5,"4780",15,17,"1"
15,7,"4780",15,18,"1"
29,10,"4780",15,20,"1"
20,11,"4780",15,10,"1"
23,4.5,"4780",15,10,"1"
27,6,"4780",15,20,"1"
22,10,"4780",15,25,"1"
23,7.5,"4780",15,25,"1"
44,12.5,"4880",19,30,"0"
25,9,"4880",19,10,"0"
30,10.5,"4880",19,17,"0"
32,12,"4880",19,25,"0"
35,11,"4880",19,10,"0"
32,8.5,"4880",19,20,"0"
28,12,"4880",19,10,"0"
37,13.5,"4880",19,30,"0"
46,13,"4880",19,10,"0"
52,12.5,"4880",19,27,"0"
40,10,"4880",19,10,"0"
51,13,"4980",28,50,"1"
46,10.5,"4980",28,25,"1"
18,8,"4980",28,17,"1"
32,8.5,"4980",28,17,"1"
41,13.5,"4980",28,50,"1"
46,13.5,"4980",28,50,"1"
25,9,"4980",28,17,"1"
21,11,"4980",28,20,"1"
31,11.5,"4980",28,27,"1"
25,10.5,"5280",27,13,"0"
28,10.5,"5280",27,10,"0"
39,13.5,"5280",27,30,"0"
25,11,"5280",27,45,"0"
49,14.5,"5280",27,43,"0"
34,11,"5280",27,18,"0"
36,15.5,"5280",27,20,"0"
19,10.5,"5280",27,13,"0"
48,11,"5280",27,28,"0"
22,11.5,"5280",27,15,"0"
47,17,"5280",27,35,"0"
47,12.5,"5280",27,15,"0"
44,12,"5280",27,20,"0"
35,12,"5280",27,20,"0"
43,17,"5280",27,33,"0"
38,7,"5280",27,10,"0"
44,13.5,"5280",27,15,"0"
37,11.5,"5280",27,25,"0"
44,13,"5280",27,35,"0"
32,11,"5280",27,15,"0"
42,13.5,"5280",27,40,"0"
36,11,"5480",32,43,"0"
42,12.5,"5480",32,50,"0"
50,11.5,"5480",32,37,"0"
52,12,"5480",32,48,"0"
46,11,"5480",32,30,"0"
55,15.5,"5480",32,50,"0"
50,12.5,"5480",32,40,"0"
42,11.5,"5480",32,45,"0"
54,14.5,"5480",32,50,"0"
50,15.5,"5480",32,40,"0"
53,15,"5480",32,50,"0"
49,13,"5480",32,40,"0"
49,13.5,"5480",32,40,"0"
51,11.5,"5480",32,50,"0"
54,15.5,"5480",32,50,"0"
53,13.5,"5480",32,40,"0"
46,13,"5480",32,43,"0"
34,10.5,"5480",32,33,"0"
47,13,"5480",32,43,"0"
42,12,"5480",32,17,"0"
51,18,"5480",32,50,"0"
44,13,"5480",32,43,"0"
36,13,"5480",32,20,"0"
40,13.5,"5480",32,20,"0"
50,16.5,"5480",32,45,"0"
23,10.5,"5480",32,45,"0"
51,13,"5480",32,50,"0"
45,11.5,"5480",32,45,"0"
44,11.5,"5480",32,43,"0"
34,11.5,"5480",32,38,"0"
48,12,"5480",32,35,"0"
37,7,"5580",32,40,"0"
39,10.5,"5580",32,28,"0"
54,15.5,"5580",32,50,"0"
46,12.5,"5580",32,30,"0"
54,14.5,"5580",32,45,"0"
44,11,"5580",32,30,"0"
40,12.5,"5580",32,30,"0"
31,10,"5580",32,30,"0"
46,11,"5580",32,50,"0"
23,9.5,"5580",32,20,"0"
52,16,"5580",32,50,"0"
44,13.5,"5580",32,38,"0"
40,13,"5580",32,45,"0"
37,12.5,"5580",32,30,"0"
38,11.5,"5580",32,27,"0"
34,7,"5580",32,20,"0"
51,17.5,"5580",32,45,"0"
40,9.5,"5580",32,43,"0"
39,12,"5580",32,30,"0"
23,12.5,"5580",32,10,"0"
39,10.5,"5580",32,30,"0"
44,15.5,"5580",32,40,"0"
42,12.5,"5580",32,40,"0"
40,12,"5580",32,30,"0"
41,12,"5580",32,50,"0"
51,11,"5580",32,45,"0"
43,12.5,"5580",32,40,"0"
33,13,"5580",32,30,"0"
42,10.5,"5580",32,35,"0"
48,12,"5580",32,35,"0"
33,12,"5780",31,20,"0"
33,12,"5780",31,30,"0"
33,11.5,"5780",31,40,"0"
39,13,"5780",31,40,"0"
47,12,"5780",31,40,"0"
42,13,"5780",31,30,"0"
44,13.5,"5780",31,50,"0"
50,14,"5780",31,40,"0"
33,11.5,"5780",31,30,"0"
41,13,"5780",31,40,"0"
45,8.5,"5780",31,40,"0"
40,11,"5780",31,45,"0"
52,13,"5780",31,35,"0"
45,10.5,"5780",31,45,"0"
55,15,"5780",31,50,"0"
35,11.5,"5780",31,40,"0"
54,11.5,"5780",31,50,"0"
42,15.5,"5780",31,50,"0"
41,12,"5780",31,50,"0"
45,11,"5780",31,40,"0"
29,10,"5780",31,40,"0"
26,7.5,"5780",31,35,"0"
53,15.5,"5780",31,30,"0"
41,11,"5780",31,30,"0"
22,9.5,"6081",26,50,"1"
28,6,"6082",25,10,"1"
41,12.5,"6081",26,33,"1"
31,11.5,"6081",26,33,"1"
48,13.5,"6081",26,25,"1"
26,8,"6081",26,33,"1"
36,13,"6081",26,40,"1"
47,12,"6081",26,50,"1"
48,14,"6081",26,37,"1"
52,14,"6081",26,40,"1"
37,12,"6081",26,20,"1"
37,13.5,"6082",25,18,"1"
43,13,"6082",25,28,"1"
36,12,"6082",25,25,"1"
35,11.5,"6082",25,30,"1"
35,10.5,"6082",25,25,"1"
44,11.5,"6082",25,40,"1"
22,9,"6082",25,28,"1"
50,11.5,"6082",25,50,"1"
43,12,"6082",25,35,"1"
27,6,"6082",25,10,"1"
22,9.5,"6082",25,13,"1"
45,11.5,"6180",27,23,"0"
19,7.5,"6180",27,10,"0"
50,15,"6180",27,25,"0"
39,9,"6180",27,30,"0"
40,15,"6180",27,27,"0"
29,8,"6180",27,20,"0"
49,10,"6180",27,50,"0"
51,15,"6180",27,30,"0"
56,16,"6180",27,37,"0"
41,11.5,"6180",27,10,"0"
27,13,"6180",27,18,"0"
31,10.5,"6180",27,10,"0"
48,12.5,"6180",27,43,"0"
40,12,"6180",27,37,"0"
33,11,"6180",27,27,"0"
38,11.5,"6180",27,30,"0"
40,10,"6180",27,25,"0"
39,10.5,"6180",27,23,"0"
43,14.5,"6180",27,25,"0"
46,13.5,"6180",27,30,"0"
51,16,"6280",26,25,"0"
47,10.5,"6280",26,50,"0"
49,17.5,"6280",26,40,"0"
43,13.5,"6280",26,50,"0"
43,12.5,"6280",26,30,"0"
53,14.5,"6280",26,30,"0"
40,12,"6280",26,45,"0"
53,12.5,"6280",26,50,"0"
48,13.5,"6280",26,30,"0"
36,14,"6280",26,30,"0"
50,12,"6280",26,30,"0"
54,17.5,"6280",26,30,"0"
42,12,"6280",26,40,"0"
51,13,"6280",26,20,"0"
43,11.5,"6280",26,20,"0"
51,16,"6280",26,40,"0"
53,17.5,"6280",26,50,"0"
49,14.5,"6280",26,50,"0"
41,11.5,"6280",26,30,"0"
44,11.5,"6280",26,30,"0"
41,13,"6280",26,50,"0"
57,15,"6580",32,18,"1"
51,11,"6580",32,30,"1"
43,10,"6580",32,25,"1"
43,16,"6580",32,13,"1"
43,12.5,"6580",32,43,"1"
43,12,"6580",32,15,"1"
54,11.5,"6580",32,43,"1"
33,9.5,"6580",32,13,"1"
55,14.5,"6580",32,37,"1"
47,13.5,"6580",32,40,"1"
36,11.5,"6580",32,33,"1"
55,12.5,"6580",32,50,"1"
41,12,"6580",32,10,"1"
54,12,"6580",32,28,"1"
50,14.5,"6580",32,37,"1"
54,11.5,"6580",32,37,"1"
47,12,"6580",32,35,"1"
41,12,"6580",32,13,"1"
50,13.5,"6580",32,30,"1"
43,13.5,"6580",32,30,"1"
50,11.5,"6580",32,30,"1"
52,14.5,"6580",32,45,"1"
32,9,"6680",30,17,"1"
52,14,"6680",30,40,"1"
21,10.5,"6680",30,17,"1"
36,11,"6680",30,30,"1"
49,11,"6680",30,37,"1"
37,11,"6680",30,33,"1"
28,10.5,"6680",30,33,"1"
50,16.5,"6680",30,37,"1"
47,14,"6680",30,30,"1"
35,11.5,"6680",30,30,"1"
52,15.5,"6680",30,33,"1"
52,15.5,"6780",28,37,"0"
39,11,"6780",28,20,"0"
25,12,"6780",28,20,"0"
25,10.5,"6780",28,27,"0"
38,13,"6780",28,30,"0"
31,11.5,"6780",28,23,"0"
26,9,"6780",28,17,"0"
35,12.5,"6780",28,23,"0"
29,12.5,"6780",28,37,"0"
32,9.5,"6780",28,30,"0"
34,13,"6780",28,27,"0"
51,13.5,"6780",28,40,"0"
47,15,"6780",28,30,"0"
39,15.5,"6780",28,33,"0"
39,13,"6780",28,27,"0"
27,11.5,"6780",28,43,"0"
45,16,"6780",28,40,"0"
32,10,"6780",28,23,"0"
41,10.5,"6780",28,27,"0"
38,10.5,"6780",28,28,"0"
40,14,"6780",28,37,"0"
39,16,"6780",28,20,"0"
29,9.5,"6780",28,30,"0"
40,11,"6780",28,20,"0"
32,10.5,"6780",28,40,"0"
17,11,"6780",28,20,"0"
50,15,"6880",23,20,"0"
38,13.5,"6880",23,18,"0"
47,14,"6880",23,20,"0"
41,15,"6880",23,23,"0"
50,14.5,"6880",23,20,"0"
38,11.5,"6880",23,25,"0"
47,13.5,"6880",23,15,"0"
27,11,"6880",23,18,"0"
42,13,"6880",23,20,"0"
27,10.5,"6880",23,15,"0"
43,12,"6880",23,23,"0"
43,13.5,"6880",23,23,"0"
39,12.5,"6880",23,20,"0"
43,9.5,"6880",23,18,"0"
53,17,"6880",23,30,"0"
54,14,"6880",23,25,"0"
47,14.5,"6880",23,15,"0"
37,8.5,"6880",23,20,"0"
40,13.5,"6880",23,15,"0"
27,10.5,"6880",23,20,"0"
41,11.5,"7680",17,18,"0"
34,10,"7680",17,18,"0"
43,12.5,"7680",17,38,"0"
37,12.5,"7680",17,38,"0"
37,11,"7680",17,18,"0"
42,11.5,"7680",17,18,"0"
25,9,"7680",17,20,"0"
33,9,"7680",17,20,"0"
16,6.5,"7680",17,17,"0"
34,9.5,"7680",17,23,"0"
40,12,"7680",17,33,"0"
30,9.5,"7680",17,45,"0"
47,13,"7680",17,20,"0"
36,8.5,"7680",17,15,"0"
52,16,"7680",17,33,"0"
28,6.5,"7680",17,20,"0"
37,8.5,"7880",23,33,"0"
43,15,"7880",23,27,"0"
50,15.5,"7880",23,25,"0"
35,10.5,"7880",23,38,"0"
37,12,"7880",23,13,"0"
32,11,"7880",23,17,"0"
34,10.5,"7880",23,30,"0"
49,14,"7880",23,45,"0"
34,12.5,"7880",23,47,"0"
34,11.5,"7880",23,33,"0"
39,12,"7880",23,17,"0"
40,8,"7880",23,20,"0"
34,11,"7880",23,17,"0"
51,12.5,"7880",23,30,"0"
49,10,"7880",23,20,"0"
39,8.5,"7880",23,27,"0"
37,12,"7880",23,27,"0"
45,8,"7980",17,33,"0"
48,13,"7980",17,33,"0"
40,9.5,"7980",17,20,"0"
36,11,"7980",17,23,"0"
44,13.5,"7980",17,45,"0"
48,13,"7980",17,33,"0"
49,14.5,"7980",17,37,"0"
31,9,"7980",17,25,"0"
41,13,"7980",17,43,"0"
42,11,"7980",17,20,"0"
46,15.5,"7980",17,37,"0"
28,11.5,"7980",17,20,"0"
45,12.5,"7980",17,20,"0"
46,13.5,"7980",17,30,"0"
26,9,"8080",28,25,"0"
28,7,"8080",28,17,"0"
46,9.5,"8080",28,20,"0"
42,12,"8080",28,40,"0"
48,12,"8080",28,40,"0"
41,11.5,"8080",28,20,"0"
45,10,"8080",28,43,"0"
45,11,"8080",28,47,"0"
45,13.5,"8080",28,20,"0"
50,11.5,"8080",28,47,"0"
24,7.5,"8080",28,17,"0"
54,14,"8080",28,50,"0"
20,7.5,"8080",28,17,"0"
52,13.5,"8080",28,50,"0"
44,11,"8080",28,33,"0"
45,10,"8080",28,17,"0"
34,9.5,"8080",28,10,"0"
46,11,"8080",28,10,"0"
39,12,"8080",28,15,"0"
51,14,"8080",28,30,"0"
28,10.5,"8080",28,17,"0"
42,11.5,"8680",32,50,"0"
45,13.5,"8680",32,20,"0"
41,13,"8680",32,50,"0"
46,11,"8680",32,30,"0"
48,12.5,"8680",32,30,"0"
42,14,"8680",32,30,"0"
28,10.5,"8680",32,43,"0"
25,7,"8680",32,30,"0"
46,14.5,"8680",32,23,"0"
49,15.5,"8680",32,50,"0"
35,11,"8680",32,35,"0"
42,12.5,"8680",32,30,"0"
51,13,"8680",32,50,"0"
43,10.5,"8680",32,50,"0"
31,11,"8680",32,20,"0"
40,9.5,"8680",32,35,"0"
41,11,"8680",32,23,"0"
30,11.5,"8680",32,33,"0"
48,16,"8680",32,50,"0"
42,10.5,"8680",32,23,"0"
51,15,"8680",32,50,"0"
53,15.5,"8680",32,50,"0"
50,12.5,"8680",32,40,"0"
41,10.5,"8680",32,50,"0"
45,11,"8780",28,35,"0"
24,10,"8780",28,20,"0"
45,11.5,"8780",28,30,"0"
36,10.5,"8780",28,20,"0"
41,8.5,"8780",28,20,"0"
33,12,"8780",28,20,"0"
47,13.5,"8780",28,47,"0"
43,13.5,"8780",28,30,"0"
51,14,"8780",28,23,"0"
32,11.5,"8780",28,25,"0"
22,10,"8780",28,20,"0"
30,9,"8780",28,17,"0"
37,8,"8780",28,23,"0"
41,12.5,"8780",28,30,"0"
20,9.5,"8780",28,23,"0"
52,14,"8780",28,40,"0"
45,12.5,"8780",28,35,"0"
51,12.5,"8780",28,30,"0"
49,12,"8780",28,30,"0"
27,11.5,"8780",28,25,"0"
42,13,"8780",28,35,"0"
53,15.5,"8880",27,35,"1"
52,13.5,"8880",27,37,"1"
47,12,"8880",27,37,"1"
47,12.5,"8880",27,43,"1"
18,7.5,"8880",27,10,"1"
50,12.5,"8880",27,20,"1"
39,12.5,"8880",27,33,"1"
26,9,"8880",27,33,"1"
27,10,"8880",27,33,"1"
44,11,"8880",27,30,"1"
49,13,"9080",22,40,"0"
35,12,"9080",22,30,"0"
42,11,"9080",22,30,"0"
53,11.5,"9080",22,40,"0"
45,11.5,"9080",22,50,"0"
50,12,"9080",22,40,"0"
38,12,"9080",22,40,"0"
50,13,"9080",22,40,"0"
44,10.5,"9080",22,20,"0"
41,13.5,"9080",22,50,"0"
47,12.5,"9080",22,30,"0"
45,11,"9080",22,20,"0"
52,11.5,"9080",22,40,"0"
48,13,"9080",22,30,"0"
50,11.5,"9080",22,50,"0"
40,15,"9480",25,30,"0"
33,13,"9480",25,28,"0"
46,12.5,"9480",25,38,"0"
49,13,"9480",25,20,"0"
50,17.5,"9480",25,33,"0"
47,13,"9480",25,38,"0"
40,7,"9480",25,20,"0"
51,15.5,"9480",25,40,"0"
51,14.5,"9480",25,50,"0"
53,15.5,"9480",25,38,"0"
42,12.5,"9480",25,20,"0"
55,16.5,"9480",25,50,"0"
53,14,"9480",25,45,"0"
44,13.5,"9480",25,33,"0"
51,13,"9480",25,38,"0"
32,10,"9580",24,20,"0"
36,13.5,"9580",24,20,"0"
55,15.5,"9580",24,25,"0"
30,11.5,"9580",24,20,"0"
39,10.5,"9580",24,20,"0"
42,10,"9580",24,20,"0"
34,8,"9580",24,20,"0"
36,11.5,"9580",24,20,"0"
31,11,"9580",24,33,"0"
37,12,"9580",24,20,"0"
47,13,"9580",24,30,"0"
30,9,"9580",24,10,"0"
27,9,"9580",24,23,"0"
39,12,"9580",24,35,"0"
35,9.5,"9580",24,20,"0"
38,10.5,"9580",24,20,"0"
29,12.5,"9580",24,40,"0"
46,13,"9580",24,40,"0"
46,11.5,"9780",34,17,"0"
43,13,"9780",34,25,"0"
43,12,"9780",34,20,"0"
42,13.5,"9780",34,20,"0"
49,12,"9780",34,30,"0"
46,12,"9780",34,15,"0"
49,12.5,"9780",34,40,"0"
27,12.5,"9780",34,18,"0"
47,12.5,"9780",34,33,"0"
36,11.5,"9780",34,18,"0"
49,13.5,"9780",34,18,"0"
30,8.5,"9780",34,25,"0"
39,11.5,"9780",34,20,"0"
45,12.5,"9780",34,20,"0"
55,13,"9780",34,25,"0"
29,9.5,"9780",34,18,"0"
32,10.5,"9780",34,25,"0"
48,16,"9880",22,13,"0"
38,11,"9880",22,17,"0"
42,12,"9880",22,15,"0"
31,12,"9880",22,13,"0"
31,11,"9880",22,18,"0"
38,16.5,"9880",22,33,"0"
48,14.5,"9880",22,15,"0"
44,13,"9880",22,15,"0"
35,12.5,"9880",22,13,"0"
31,8.5,"9880",22,10,"0"
30,9,"9880",22,10,"0"
46,11,"9880",22,15,"0"
48,12.5,"9880",22,40,"0"
28,10,"9880",22,23,"0"
36,11,"9880",22,25,"0"
39,13.5,"9880",22,13,"0"
46,13,"9880",22,18,"0"
38,10.5,"9880",22,13,"0"
31,8.5,"9880",22,18,"0"
33,10.5,"9880",22,10,"0"
44,12,"10180",25,23,"0"
46,11,"10180",25,33,"0"
53,12,"10180",25,30,"0"
30,10.5,"10180",25,20,"0"
27,11.5,"10180",25,10,"0"
40,13,"10180",25,23,"0"
45,9,"10180",25,23,"0"
37,9,"10180",25,13,"0"
