"Lab","Spc","Bat","Conc"
"L4","S1","B1",1.3
"L4","S1","B2",0.9
"L4","S1","B2",1.1
"L4","S1","B3",0.9
"L4","S1","B3",0.9
"L4","S2","B1",1.7
"L4","S2","B1",1.3
"L4","S2","B2",1.5
"L4","S2","B2",1.5
"L4","S2","B3",0.6
"L4","S2","B3",0.4
"L4","S3","B1",1.3
"L4","S3","B1",1.7
"L4","S3","B2",1.5
"L4","S3","B2",1.5
"L4","S3","B3",2.1
"L4","S3","B3",1.9
"L4","S4","B1",1.3
"L4","S4","B1",1.3
"L4","S4","B2",1.3
"L4","S4","B2",1.1
"L4","S4","B3",0.2
"L4","S4","B3",0.2
"L4","S5","B1",7.6
"L4","S5","B1",7.8
"L4","S5","B2",7.9
"L4","S5","B2",7.5
"L4","S5","B3",7.8
"L4","S5","B3",7.4
"L4","S6","B1",2.4
"L4","S6","B1",2.6
"L4","S6","B2",2.2
"L4","S6","B2",2.8
"L4","S6","B3",2.2
"L4","S6","B3",1.7
"L4","S7","B1",1.5
"L4","S7","B1",1.9
"L4","S7","B2",2.4
"L4","S7","B2",1.9
"L4","S7","B3",1.7
"L4","S7","B3",2
"L5","S1","B1",0.44
"L5","S1","B1",0.44
"L5","S1","B2",0.45
"L5","S1","B2",0.45
"L5","S1","B3",0.42
"L5","S1","B3",0.46
"L5","S2","B1",0.23
"L5","S2","B1",0.24
"L5","S2","B2",0.22
"L5","S2","B2",0.23
"L5","S2","B3",0.24
"L5","S2","B3",0.18
"L5","S3","B1",1.1
"L5","S3","B1",1
"L5","S3","B2",1.1
"L5","S3","B2",1.2
"L5","S3","B3",1.2
"L5","S3","B3",1.1
"L5","S4","B1",0.48
"L5","S4","B1",0.47
"L5","S4","B2",0.57
"L5","S4","B2",0.56
"L5","S4","B3",0.55
"L5","S4","B3",0.55
"L5","S5","B1",8
"L5","S5","B1",7.8
"L5","S5","B2",8
"L5","S5","B2",7.9
"L5","S5","B3",8.3
"L5","S5","B3",8.3
"L5","S6","B1",1.9
"L5","S6","B1",1.9
"L5","S6","B2",1.9
"L5","S6","B2",1.9
"L5","S6","B3",1.8
"L5","S6","B3",1.9
"L5","S7","B1",1.3
"L5","S7","B1",1.4
"L5","S7","B2",1.3
"L5","S7","B2",1.3
"L5","S7","B3",1.2
"L5","S7","B3",1.2
"L6","S1","B1",0.38
"L6","S1","B1",0.39
"L6","S1","B2",0.4
"L6","S1","B2",0.46
"L6","S1","B3",0.72
"L6","S1","B3",0.79
"L6","S2","B1",0.24
"L6","S2","B1",0.2
"L6","S2","B2",0.15
"L6","S2","B2",0.16
"L6","S2","B3",0.35
"L6","S2","B3",0.42
"L6","S3","B1",1.03
"L6","S3","B1",0.88
"L6","S3","B2",1.06
"L6","S3","B2",1.16
"L6","S3","B3",1.1
"L6","S3","B3",1.2
"L6","S4","B1",0.31
"L6","S4","B1",0.31
"L6","S4","B2",0.69
"L6","S4","B2",0.73
"L6","S4","B3",1.1
"L6","S4","B3",0.9
"L6","S5","B1",7.7
"L6","S5","B1",6.9
"L6","S5","B2",9.4
"L6","S5","B2",9.9
"L6","S5","B3",9.2
"L6","S5","B3",9
"L6","S6","B1",1.7
"L6","S6","B1",1.8
"L6","S6","B2",2
"L6","S6","B2",2.1
"L6","S6","B3",1.5
"L6","S6","B3",1.5
"L6","S7","B1",1.5
"L6","S7","B1",1.5
"L6","S7","B2",1.3
"L6","S7","B2",1.4
"L6","S7","B3",1.5
"L6","S7","B3",1.8
